case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:04:364,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:09:06:861,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:55:46:935,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:52:06:512,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:22:22:720,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:21:34:898,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:11:06:656,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity BC,2020-06-27 14:10:14:364,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 14:38:49:934,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 15:28:09:533,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:24:364,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:48:41:702,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:43:05:509,Steve,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:34:364,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:31:38:316,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:16:54:433,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:44:364,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:00:38:682,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:47:40:709,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:54:364,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:49:20:337,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:39:43:128,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity BC,2020-06-27 14:11:04:364,Micheline,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
7,2,Activity B,2020-06-27 14:50:43:165,Tiffiny,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
7,3,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:14:364,Amanda,normal,anomalous,"-"
8,2,Activity C,2020-06-27 14:38:47:577,Lisa,normal,anomalous,"-"
8,3,Activity E,2020-06-27 15:32:57:194,Donald,normal,anomalous,"-"
8,4,Random activity 74,2020-06-27 16:21:42:374,Random user 22,normal,anomalous,"-"
8,5,Activity F,2020-06-27 17:17:37:488,Keven,normal,anomalous,"-"
8,6,Activity D,2020-06-27 18:16:19:863,James,normal,anomalous,"-"
8,7,Activity S,2020-06-27 19:10:37:791,Hoyt,normal,anomalous,"-"
8,8,Activity B,2020-06-27 19:26:48:251,Tiffiny,normal,anomalous,"-"
8,9,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:24:364,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 14:57:15:444,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 15:55:51:522,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:51:03:197,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:19:36:679,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:05:17:044,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 18:55:18:784,Ronald,normal,normal,"-"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:34:364,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 14:26:35:365,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 15:16:24:003,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 15:51:53:955,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 16:22:55:669,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 17:15:05:121,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 18:14:38:389,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:05:44:906,Ronald,normal,normal,"-"
10,9,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:44:364,Amanda,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}]}"
11,2,Activity C,2020-06-27 14:37:11:536,Vickie,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}]}"
11,3,Activity L,2020-06-27 15:29:56:522,Lisa,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}]}"
11,4,Activity O,2020-06-27 16:21:36:854,Johnny,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}]}"
11,5,Activity M,2020-06-27 17:10:34:429,Maryellen,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}]}"
11,6,Activity B,2020-06-27 18:03:10:168,Ronald,normal,anomalous,"{'size': 2, 'start': 5, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity S', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}]}"
11,7,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity B,2020-06-27 14:11:54:364,Tiffiny,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}, {'name': 'Activity BC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}]}"
12,2,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:12:04:364,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 14:50:42:521,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 15:36:33:943,Steve,normal,normal,"-"
13,4,■,-,-,-,-,"-"
