case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:46:990,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:58:56:852,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:57:19:627,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:54:04:715,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:33:11:782,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:20:34:785,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:16:17:211,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 20:12:34:969,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:56:990,Micheline,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,2,Activity L,2020-06-27 15:15:54:483,Howard,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,3,Activity N,2020-06-27 16:05:24:571,Issac,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,4,Activity M,2020-06-27 17:00:35:025,Steve,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,5,Activity R,2020-06-27 17:37:33:773,Brant,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,6,Activity AC,2020-06-27 18:31:19:488,Steve,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,7,Activity AH,2020-06-27 19:20:17:589,Hassie,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,8,Activity AD,2020-06-27 19:35:20:904,Donald,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,9,Activity S,2020-06-27 20:20:36:253,Lannie,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,10,Activity B,2020-06-27 20:59:35:789,Micheline,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:06:990,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:26:20:774,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:14:22:776,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:52:09:254,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:20:17:058,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:16:17:488,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:02:19:376,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:34:52:606,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:16:990,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:28:31:912,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:27:50:179,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 17:15:59:550,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:39:20:347,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:26:33:746,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:08:19:210,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:25:37:905,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:23:57:941,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:26:990,Micheline,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,2,Activity L,2020-06-27 15:03:42:908,Howard,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
