case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:07:295,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:53:40:779,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:49:28:319,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:43:29:569,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:06:47:811,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:52:39:958,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:48:43:387,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:44:14:033,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:17:295,Micheline,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,2,Activity L,2020-06-27 14:54:32:902,Howard,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,3,Activity N,2020-06-27 15:46:00:562,Issac,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,4,Activity M,2020-06-27 16:36:16:043,Steve,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,5,Activity R,2020-06-27 17:25:07:457,Brant,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,6,Activity AC,2020-06-27 18:11:32:088,Steve,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,7,Activity AH,2020-06-27 18:47:50:642,Hassie,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,8,Activity AD,2020-06-27 19:13:15:803,Donald,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,9,Activity S,2020-06-27 20:08:33:968,Lannie,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,10,Activity B,2020-06-27 20:40:12:083,Micheline,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:27:295,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:00:22:547,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:46:53:247,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:19:00:578,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:09:35:110,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:59:43:338,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:43:29:469,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 18:58:53:348,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:37:295,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:09:35:279,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:05:26:516,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:41:34:713,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 16:57:42:259,James,normal,normal,"-"
4,6,Activity F,2020-06-27 17:57:27:047,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:32:10:347,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 18:49:02:136,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 19:34:33:075,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:47:295,Micheline,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,2,Activity L,2020-06-27 14:36:56:730,Howard,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,3,Activity N,2020-06-27 15:29:53:780,Sharee,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,4,Activity M,2020-06-27 16:11:07:779,Steve,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,5,Activity R,2020-06-27 17:04:30:757,Amanda,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,6,Activity W,2020-06-27 17:56:32:235,Chan,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
