case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:48:361,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:02:25:706,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 16:01:04:004,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:44:37:273,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:07:20:017,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:54:41:666,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:46:19:156,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:33:33:327,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity R,2020-06-27 14:36:58:361,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,2,Activity AC,2020-06-27 14:55:58:776,Steve,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,3,Activity A,2020-06-27 15:46:22:656,Micheline,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,4,Activity L,2020-06-27 16:21:04:636,Howard,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,5,Activity N,2020-06-27 16:37:18:078,Issac,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,6,Activity M,2020-06-27 17:27:07:003,Steve,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,7,Activity AH,2020-06-27 18:02:12:960,Howard,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,8,Activity AD,2020-06-27 18:19:29:920,Craig,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,9,Activity S,2020-06-27 19:13:53:658,Lannie,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,10,Activity B,2020-06-27 20:05:34:074,Micheline,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:08:361,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:11:25:091,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:08:33:528,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 17:02:39:232,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:44:20:949,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:36:03:685,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:27:21:512,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:58:06:395,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:18:361,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:34:18:174,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:23:20:863,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 17:15:51:255,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 18:01:01:019,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:48:11:030,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:40:20:811,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 20:22:14:544,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 21:21:25:904,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:28:361,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:36:06:981,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 16:27:23:375,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 17:21:33:470,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:41:31:798,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:32:53:439,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 19:11:19:299,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:36:12:896,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:25:24:917,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:59:29:517,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:38:361,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:13:49:625,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:11:48:747,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:56:29:980,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:50:55:559,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:37:22:148,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 19:36:37:119,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 20:36:26:434,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 21:29:54:862,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity AS,2020-06-27 14:37:48:361,Josef,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,2,Activity AJ,2020-06-27 15:07:15:183,Donald,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,3,Activity A,2020-06-27 15:54:24:043,Ronald,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,4,Activity AI,2020-06-27 16:30:20:092,Pam,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,5,Activity AP,2020-06-27 16:47:16:931,Chan,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,6,Activity AQ,2020-06-27 17:35:42:774,Jamika,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,7,Activity AR,2020-06-27 18:15:11:345,Lucy,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,8,Activity B,2020-06-27 18:31:24:047,Alyce,normal,anomalous,"{'shift_from': 7, 'shift_to': 0, 'size': 2}"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:58:361,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 15:23:28:110,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 16:08:50:156,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 16:49:04:616,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 17:38:55:157,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 18:31:36:037,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 19:17:54:262,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 19:39:38:047,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 20:36:04:028,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity N,2020-06-27 14:38:08:361,Ryan,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,2,Activity A,2020-06-27 15:32:39:308,Micheline,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,3,Activity L,2020-06-27 16:23:40:517,Howard,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,4,Activity M,2020-06-27 17:15:11:252,Steve,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,5,Activity R,2020-06-27 17:47:40:053,Melany,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,6,Activity V,2020-06-27 18:45:06:534,Jimmy,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,7,Activity S,2020-06-27 19:26:11:195,Sonia,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,8,Activity B,2020-06-27 19:51:48:057,Alyce,normal,anomalous,"{'shift_from': 3, 'shift_to': 0, 'size': 1}"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:18:361,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 15:14:00:520,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 16:08:32:293,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 16:44:10:840,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 17:14:40:459,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 18:06:34:274,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 18:45:22:922,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 19:29:19:606,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 20:23:52:754,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 21:11:01:167,Jack,normal,normal,"-"
10,11,Activity B,2020-06-27 22:04:56:943,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:28:361,Ronald,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,2,Activity AM,2020-06-27 15:01:19:442,Marilyn,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,3,Activity AN,2020-06-27 15:49:35:108,Vickie,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,4,Activity AI,2020-06-27 16:34:53:915,Lisa,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,5,Activity AL,2020-06-27 17:28:54:545,Rossana,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,6,Activity AO,2020-06-27 18:23:16:857,Evelin,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,7,Activity AJ,2020-06-27 19:22:21:622,Charles,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,8,Activity B,2020-06-27 20:00:05:501,Brant,normal,anomalous,"{'shift_from': 5, 'shift_to': 1, 'size': 2}"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:38:361,Velda,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,2,Activity AI,2020-06-27 15:08:17:972,Pam,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,3,Activity AR,2020-06-27 16:06:18:322,Lucy,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,4,Activity AS,2020-06-27 16:45:15:762,Clayton,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,5,Activity AP,2020-06-27 17:16:59:625,Chan,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,6,Activity AQ,2020-06-27 18:09:24:159,Jamika,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,7,Activity AJ,2020-06-27 19:05:03:265,Ling,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,8,Activity B,2020-06-27 19:31:57:268,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 2, 'size': 2}"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:38:48:361,Amanda,normal,normal,"-"
13,2,Activity C,2020-06-27 15:09:18:814,Hannah,normal,normal,"-"
13,3,Activity D,2020-06-27 16:02:05:770,Hugo,normal,normal,"-"
13,4,Activity E,2020-06-27 16:44:29:029,Lannie,normal,normal,"-"
13,5,Activity H,2020-06-27 17:26:45:841,Keven,normal,normal,"-"
13,6,Activity F,2020-06-27 18:23:48:074,Jimmy,normal,normal,"-"
13,7,Activity J,2020-06-27 19:10:27:383,Ryan,normal,normal,"-"
13,8,Activity K,2020-06-27 19:27:12:082,Tiffiny,normal,normal,"-"
13,9,Activity B,2020-06-27 20:14:33:351,Alyce,normal,normal,"-"
13,10,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:38:58:361,Steve,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,2,Activity C,2020-06-27 15:17:15:840,Hannah,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,3,Activity D,2020-06-27 16:03:56:334,Hugo,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,4,Activity J,2020-06-27 16:44:26:737,Tiffiny,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,5,Activity E,2020-06-27 17:09:29:929,Keven,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,6,Activity G,2020-06-27 17:54:38:321,Issac,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,7,Activity F,2020-06-27 18:51:59:897,Jimmy,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,8,Activity K,2020-06-27 19:48:29:441,Ryan,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,9,Activity B,2020-06-27 20:41:17:320,Alyce,normal,anomalous,"{'shift_from': 7, 'shift_to': 3, 'size': 1}"
14,10,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:39:08:361,Amanda,normal,normal,"-"
15,2,Activity C,2020-06-27 15:04:53:690,Hannah,normal,normal,"-"
