case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:51:444,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:18:06:793,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 16:08:42:455,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 17:01:30:002,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:17:19:266,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:12:46:961,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:57:29:524,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:48:28:552,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity N,2020-06-27 14:37:01:444,Issac,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,2,Activity M,2020-06-27 15:34:11:836,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,3,Activity R,2020-06-27 16:30:30:463,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,4,Activity AC,2020-06-27 17:05:48:031,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,5,Activity A,2020-06-27 17:57:10:964,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,6,Activity L,2020-06-27 18:55:32:911,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,7,Activity AH,2020-06-27 19:37:16:988,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,8,Activity AD,2020-06-27 20:14:14:437,Craig,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,9,Activity S,2020-06-27 21:10:33:944,Lannie,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,10,Activity B,2020-06-27 21:41:32:091,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:11:444,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:29:07:956,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:28:18:190,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 17:21:52:511,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 18:13:42:158,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 19:03:17:033,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:41:42:069,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 20:22:37:959,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:21:444,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:07:46:140,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:02:11:973,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:58:17:513,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:29:29:880,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:18:35:940,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:05:27:216,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:29:59:002,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:22:37:794,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:31:444,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:54:30:635,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:45:49:029,Issac,normal,normal,"-"
