case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:47:501,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:22:03:204,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 16:20:17:661,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 17:02:24:675,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:28:45:953,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:20:33:763,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:15:05:071,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 20:03:56:927,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:57:501,Micheline,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,2,Activity L,2020-06-27 14:57:13:003,Howard,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,3,Activity N,2020-06-27 15:50:41:798,Issac,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,4,Activity M,2020-06-27 16:40:37:492,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,5,Activity R,2020-06-27 17:25:07:890,Brant,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,6,Activity AC,2020-06-27 18:21:05:298,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,7,Activity M,2020-06-27 19:01:04:726,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,8,Activity R,2020-06-27 19:25:06:187,Brant,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,9,Activity AC,2020-06-27 20:13:18:054,Steve,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,10,Activity AH,2020-06-27 20:52:39:984,Howard,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,11,Activity AD,2020-06-27 21:08:56:374,Craig,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,12,Activity S,2020-06-27 21:53:16:034,Lannie,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,13,Activity B,2020-06-27 22:10:09:690,Micheline,normal,anomalous,"{'size': 3, 'start': 6, 'inserted': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}]}"
2,14,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:07:501,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:27:09:802,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:15:30:145,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:53:53:124,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:43:34:551,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:36:09:051,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 19:09:14:675,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:30:07:102,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:17:501,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:15:43:386,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:11:24:932,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:58:21:980,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:33:48:790,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:23:53:327,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:11:21:754,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:30:58:089,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:21:44:442,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:27:501,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:16:46:463,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 16:03:32:958,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:36:11:397,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:15:26:310,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:06:08:665,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:52:02:776,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:29:20:343,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:25:12:632,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 21:20:02:693,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:37:501,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:34:10:191,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:22:45:161,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:57:27:791,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:56:12:173,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:45:39:395,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 19:33:36:951,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:51:14:295,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:49:05:608,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
