case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:44:659,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:53:04:305,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:48:10:223,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:38:04:168,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 16:55:48:382,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:50:52:338,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:50:21:369,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:29:04:983,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:54:659,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,2,Activity L,2020-06-27 15:11:38:497,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,3,Activity N,2020-06-27 16:08:39:246,Issac,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,4,Activity AC,2020-06-27 16:41:50:301,Steve,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
