case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:03:416,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:40:22:982,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:27:35:038,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:26:39:632,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 16:46:05:724,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:45:18:470,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:22:10:949,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 18:43:15:058,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:13:416,Micheline,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,2,Activity L,2020-06-27 15:07:52:264,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,3,Activity N,2020-06-27 15:58:07:153,Issac,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,4,Activity AC,2020-06-27 16:50:54:165,Steve,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,5,Activity AH,2020-06-27 17:43:47:478,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,6,Activity AD,2020-06-27 18:29:46:558,Craig,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
2,7,Activity S,2020-06-27 19:16:35:742,Lannie,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity M', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Steve'}}, {'name': 'Activity R', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}]}"
