case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:47:249,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:36:01:648,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 16:32:53:207,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 17:03:24:216,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:36:15:993,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:28:03:716,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:26:12:639,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 19:44:09:556,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity N,2020-06-27 14:36:57:249,Issac,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,2,Activity M,2020-06-27 15:17:31:290,Steve,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,3,Activity R,2020-06-27 16:03:16:505,Brant,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,4,Activity AC,2020-06-27 16:50:33:512,Steve,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,5,Activity AH,2020-06-27 17:40:16:431,Howard,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,6,Activity AD,2020-06-27 18:31:23:448,Craig,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,7,Activity S,2020-06-27 19:10:02:503,Lannie,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,8,Activity B,2020-06-27 20:08:29:959,Micheline,normal,anomalous,"{'size': 2, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Micheline'}}, {'name': 'Activity L', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Howard'}}]}"
2,9,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:07:249,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:55:31:297,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:44:55:524,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:30:12:205,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:06:50:979,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:55:17:085,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:30:12:527,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:28:18:095,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:17:249,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:18:59:405,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:07:30:607,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:56:24:593,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:18:26:513,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:07:50:298,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:07:42:046,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:26:09:988,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:15:36:037,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:27:249,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:56:30:872,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:41:41:977,Issac,normal,normal,"-"
