case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:08:04:200,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 18:01:55:644,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:48:03:176,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:35:32:344,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:30:01:791,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:17:19:402,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 22:12:29:592,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:56:09:957,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:53:10:765,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:41:17:395,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 01:14:43:393,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:14:200,Johnny,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,2,Activity C,2020-06-27 17:28:54:845,Roseanne,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,3,Activity D,2020-06-27 18:27:31:311,Elisha,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,4,Activity E,2020-06-27 19:05:31:296,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,5,Activity H,2020-06-27 19:40:54:216,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,6,Activity F,2020-06-27 20:39:45:943,Brian,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,7,Activity I,2020-06-27 21:35:14:772,Ling,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,8,Activity O,2020-06-27 22:26:26:663,Rossana,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,9,Activity P,2020-06-27 23:19:39:896,Wilton,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,10,Activity J,2020-06-28 00:16:48:864,Sherlene,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,11,Activity B,2020-06-28 00:41:55:122,Sherell,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:24:200,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 18:04:21:707,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 19:01:59:203,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:42:35:755,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 19:58:17:793,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:52:35:985,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:31:37:847,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 21:58:31:768,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 22:48:28:604,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 23:26:26:746,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:23:50:403,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 00:39:30:664,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:34:200,Josef,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,2,Activity AB,2020-06-27 17:36:28:800,Brant,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,3,Activity AF,2020-06-27 18:23:11:650,Steve,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,4,Activity AC,2020-06-27 19:00:09:693,Brant,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,5,Activity AG,2020-06-27 19:25:29:926,Lucy,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,6,Activity AI,2020-06-27 20:19:31:550,Amanda,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,7,Activity AH,2020-06-27 21:08:39:304,Issac,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
