case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:53:579,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:23:05:741,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:11:48:045,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 17:11:46:629,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:38:02:454,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:31:54:818,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:25:45:436,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 20:13:06:726,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:58:18:273,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:52:56:516,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:30:14:733,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:37:03:579,Johnny,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,2,Activity C,2020-06-27 15:34:55:840,Roseanne,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,3,Activity D,2020-06-27 16:32:51:392,Elisha,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,4,Activity E,2020-06-27 17:22:21:637,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,5,Activity H,2020-06-27 17:40:13:109,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,6,Activity F,2020-06-27 18:27:47:951,Brian,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,7,Activity I,2020-06-27 19:04:42:092,Ling,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,8,Activity O,2020-06-27 19:43:51:109,Rossana,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,9,Activity P,2020-06-27 20:39:22:371,Wilton,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,10,Activity J,2020-06-27 21:26:12:603,Sherlene,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,11,Activity B,2020-06-27 22:04:09:708,Sherell,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:13:579,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:25:57:433,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 16:11:58:131,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:52:39:195,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:21:41:861,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:20:57:936,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 19:12:28:254,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:50:50:228,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:44:58:202,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:43:20:387,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 22:19:14:295,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 23:00:36:766,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:23:579,Josef,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,2,Activity AB,2020-06-27 15:36:21:921,Brant,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,3,Activity AF,2020-06-27 16:30:50:962,Steve,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,4,Activity AC,2020-06-27 17:10:59:898,Brant,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,5,Activity AG,2020-06-27 17:56:01:584,Lucy,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,6,Activity AI,2020-06-27 18:52:51:534,Amanda,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,7,Activity AH,2020-06-27 19:33:34:660,Issac,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,8,Activity AL,2020-06-27 20:14:51:102,Sherlene,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,9,Activity AN,2020-06-27 21:08:17:934,Clayton,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,10,Activity AM,2020-06-27 21:58:37:413,Howard,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,11,Activity AP,2020-06-27 22:43:25:801,Keven,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,12,Activity B,2020-06-27 23:36:33:834,Hoyt,normal,anomalous,"{'index': [0], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jamika']}"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:33:579,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 15:24:45:113,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 16:22:06:834,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 17:21:17:032,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 18:13:16:364,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 19:02:53:617,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 20:01:31:801,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 20:47:56:303,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 21:39:52:412,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 22:20:41:336,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 22:38:45:524,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-27 23:04:29:168,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:43:579,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 14:58:25:373,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:54:16:152,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:49:15:599,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 17:46:08:876,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 18:31:58:253,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 19:17:26:969,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 20:01:00:893,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 20:56:38:236,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 21:38:59:407,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 22:38:49:995,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:53:579,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 15:03:40:179,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 15:49:01:653,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 16:34:48:192,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 17:05:04:953,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 17:50:33:281,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 18:21:46:020,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 18:45:54:334,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 19:32:02:447,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 20:29:00:964,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-27 21:18:31:107,Johnny,normal,normal,"-"
7,12,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:38:03:579,Johnny,normal,normal,"-"
8,2,Activity C,2020-06-27 15:07:38:643,Roseanne,normal,normal,"-"
8,3,Activity D,2020-06-27 16:05:40:952,Alpha,normal,normal,"-"
8,4,Activity E,2020-06-27 16:44:14:717,Josef,normal,normal,"-"
8,5,Activity H,2020-06-27 17:12:09:170,Lourdes,normal,normal,"-"
8,6,Activity F,2020-06-27 18:03:35:291,Brian,normal,normal,"-"
8,7,Activity I,2020-06-27 19:01:41:743,Velda,normal,normal,"-"
8,8,Activity K,2020-06-27 19:20:02:549,Charles,normal,normal,"-"
8,9,Activity L,2020-06-27 20:17:25:056,Micheline,normal,normal,"-"
8,10,Activity J,2020-06-27 20:50:59:171,Alyce,normal,normal,"-"
8,11,Activity B,2020-06-27 21:30:05:952,Della,normal,normal,"-"
8,12,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:38:13:579,Keven,normal,normal,"-"
9,2,Activity C,2020-06-27 14:57:16:464,Roseanne,normal,normal,"-"
9,3,Activity D,2020-06-27 15:43:59:380,Alpha,normal,normal,"-"
9,4,Activity E,2020-06-27 16:41:21:503,Josef,normal,normal,"-"
9,5,Activity H,2020-06-27 17:18:10:845,Lourdes,normal,normal,"-"
9,6,Activity F,2020-06-27 18:12:01:987,Brian,normal,normal,"-"
9,7,Activity I,2020-06-27 18:55:12:253,Della,normal,normal,"-"
9,8,Activity M,2020-06-27 19:51:15:644,Hannah,normal,normal,"-"
9,9,Activity N,2020-06-27 20:37:54:595,Ronald,normal,normal,"-"
9,10,Activity J,2020-06-27 21:20:04:424,Sherlene,normal,normal,"-"
9,11,Activity B,2020-06-27 21:43:11:927,Sherell,normal,normal,"-"
9,12,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:23:579,Sherlene,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,2,Activity AB,2020-06-27 15:20:00:183,Brant,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,3,Activity AF,2020-06-27 16:16:28:571,Steve,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,4,Activity AC,2020-06-27 17:08:47:905,Sherell,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,5,Activity AG,2020-06-27 17:31:07:975,Clayton,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,6,Activity AJ,2020-06-27 18:22:39:458,James,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,7,Activity AH,2020-06-27 18:53:07:532,Emily,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,8,Activity AL,2020-06-27 19:20:03:252,Ronald,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,9,Activity AO,2020-06-27 20:15:02:742,Ronald,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,10,Activity AM,2020-06-27 20:48:36:309,Brant,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,11,Activity AP,2020-06-27 21:21:51:101,Keven,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,12,Activity B,2020-06-27 22:13:20:316,Junior,normal,anomalous,"{'index': [3], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Brant']}"
10,13,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:33:579,Lourdes,normal,normal,"-"
11,2,Activity Q,2020-06-27 15:04:23:860,Roseanne,normal,normal,"-"
11,3,Activity R,2020-06-27 15:50:54:476,Howard,normal,normal,"-"
11,4,Activity S,2020-06-27 16:33:58:587,Sandra,normal,normal,"-"
11,5,Activity T,2020-06-27 17:18:31:464,Howard,normal,normal,"-"
11,6,Activity U,2020-06-27 18:15:43:432,Shandi,normal,normal,"-"
11,7,Activity V,2020-06-27 19:00:26:069,Donald,normal,normal,"-"
11,8,Activity X,2020-06-27 19:16:36:570,Ryan,normal,normal,"-"
11,9,Activity W,2020-06-27 20:14:35:887,Frances,normal,normal,"-"
11,10,Activity B,2020-06-27 21:04:08:889,Alyce,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:43:579,Tiffiny,normal,anomalous,"{'index': [5, 7, 9], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Sherell', 'Chan']}"
12,2,Activity C,2020-06-27 15:11:17:937,Roseanne,normal,anomalous,"{'index': [5, 7, 9], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Sherell', 'Chan']}"
12,3,Activity D,2020-06-27 16:03:19:070,Alpha,normal,anomalous,"{'index': [5, 7, 9], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Sherell', 'Chan']}"
12,4,Activity E,2020-06-27 16:50:28:111,Josef,normal,anomalous,"{'index': [5, 7, 9], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Sherell', 'Chan']}"
12,5,Activity H,2020-06-27 17:11:00:216,Lourdes,normal,anomalous,"{'index': [5, 7, 9], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Brian', 'Sherell', 'Chan']}"
