case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:52:744,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:15:05:773,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:09:33:921,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:54:48:574,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:10:09:389,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:04:03:776,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:36:39:681,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 18:59:29:869,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:59:15:225,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:30:36:503,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:07:08:254,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:37:02:744,Johnny,normal,anomalous,"-"
2,2,Activity C,2020-06-27 15:18:31:376,Roseanne,normal,anomalous,"-"
2,3,Random activity 16,2020-06-27 16:08:07:949,Random user 39,normal,anomalous,"-"
2,4,Activity D,2020-06-27 17:03:56:874,Alpha,normal,anomalous,"-"
2,5,Activity E,2020-06-27 17:26:43:465,Josef,normal,anomalous,"-"
2,6,Activity H,2020-06-27 18:19:04:474,Josef,normal,anomalous,"-"
2,7,Activity F,2020-06-27 19:07:52:842,Brian,normal,anomalous,"-"
2,8,Activity I,2020-06-27 20:04:06:269,Ling,normal,anomalous,"-"
2,9,Activity O,2020-06-27 20:50:12:994,Rossana,normal,anomalous,"-"
2,10,Activity P,2020-06-27 21:44:23:616,Wilton,normal,anomalous,"-"
2,11,Activity J,2020-06-27 22:11:48:865,Sherlene,normal,anomalous,"-"
2,12,Activity B,2020-06-27 22:36:46:828,Sherell,normal,anomalous,"-"
2,13,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:12:744,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:02:42:003,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:55:49:748,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:44:47:268,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:03:22:240,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:51:44:028,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:48:01:759,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:34:31:452,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:22:57:574,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:04:09:255,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 22:02:17:328,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:43:23:191,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:22:744,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 15:08:26:204,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 16:06:11:651,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:40:57:991,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:23:36:055,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 18:08:58:317,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 18:42:45:124,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 19:02:34:214,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 19:54:55:599,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 20:35:30:105,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 21:32:00:233,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 22:06:10:609,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:32:744,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 15:32:30:334,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 16:20:28:253,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 16:59:09:135,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 17:39:22:406,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 18:36:03:356,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 19:23:25:576,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 20:08:45:182,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 21:06:32:479,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 21:56:13:696,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 22:30:59:062,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-27 22:48:12:715,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:42:744,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 15:09:54:692,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:56:12:620,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:34:38:542,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 17:10:35:427,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 18:00:08:007,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 18:35:39:360,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 19:13:10:272,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 20:02:06:133,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 20:37:23:341,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 20:55:57:851,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:52:744,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 15:17:51:346,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 16:11:01:109,Alpha,normal,normal,"-"
