case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:57:110,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:54:21:887,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:42:08:769,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:24:30:425,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 19:54:15:411,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 20:52:43:360,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:38:31:640,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:31:33:634,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:23:31:452,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:02:30:588,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:22:11:981,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:07:110,Johnny,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,2,Activity C,2020-06-27 17:56:28:847,Roseanne,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,3,Activity D,2020-06-27 18:53:00:176,Alpha,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,4,Activity E,2020-06-27 19:39:18:754,Josef,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,5,Activity H,2020-06-27 20:20:55:962,Josef,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,6,Activity F,2020-06-27 21:16:20:667,Brian,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,7,Activity I,2020-06-27 21:59:06:451,Ling,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,8,Activity O,2020-06-27 22:32:01:942,Rossana,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,9,Activity P,2020-06-27 23:27:45:305,Wilton,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,10,Activity J,2020-06-27 23:58:17:477,Sherlene,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,11,Activity B,2020-06-28 00:46:15:200,Sherell,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,12,Activity J,2020-06-28 01:18:17:801,Sherlene,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,13,Activity B,2020-06-28 02:12:54:174,Sherell,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,14,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:17:110,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:52:34:797,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:40:12:261,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:35:22:620,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 19:51:23:859,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:48:33:847,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:33:22:191,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 22:25:03:420,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 23:22:04:663,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 23:53:14:266,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:47:54:261,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 01:32:42:300,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:27:110,Jamika,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,2,Activity AB,2020-06-27 17:56:18:799,Brant,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,3,Activity AF,2020-06-27 18:43:48:207,Steve,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,4,Activity AC,2020-06-27 19:35:58:101,Brant,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,5,Activity AG,2020-06-27 20:17:50:627,Lucy,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,6,Activity AI,2020-06-27 21:04:48:068,Amanda,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,7,Activity AH,2020-06-27 21:49:18:635,Issac,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
4,8,Activity AL,2020-06-27 22:05:46:316,Sherlene,normal,anomalous,"{'size': 3, 'start': 9, 'inserted': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lucy'}}, {'name': 'Activity AI', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Amanda'}}]}"
