case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:45:577,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:56:21:898,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:41:26:802,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:21:53:231,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:48:10:031,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:34:56:287,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:19:34:296,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 18:58:13:897,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:51:53:242,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:31:47:939,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 20:54:44:335,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:55:577,Johnny,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,2,Activity C,2020-06-27 15:29:23:972,Roseanne,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,3,Activity D,2020-06-27 16:16:50:093,Alpha,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,4,Activity E,2020-06-27 17:05:24:205,Josef,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,5,Activity H,2020-06-27 17:34:07:162,Josef,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,6,Activity F,2020-06-27 18:31:45:260,Brian,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,7,Activity I,2020-06-27 19:04:01:236,Ling,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,8,Activity O,2020-06-27 19:25:14:030,Rossana,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,9,Activity P,2020-06-27 20:20:39:915,Wilton,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,10,Activity J,2020-06-27 20:59:39:492,Sherlene,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,11,Activity B,2020-06-27 21:39:29:345,Sherell,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,12,Activity J,2020-06-27 22:08:21:042,Sherlene,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,13,Activity B,2020-06-27 22:56:50:671,Sherell,normal,anomalous,"{'size': 2, 'start': 11, 'inserted': [{'name': 'Activity J', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherlene'}}, {'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Sherell'}}]}"
2,14,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:05:577,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:31:47:130,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 16:24:56:983,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 17:15:25:742,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 18:00:43:892,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:58:00:901,James,normal,normal,"-"
