case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:10:937,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:59:27:959,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:55:56:413,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:46:18:603,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:28:47:060,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:25:03:191,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:24:47:199,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 20:03:24:666,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:20:937,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:00:01:182,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:52:31:409,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:29:41:531,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:26:57:974,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:21:57:177,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:04:26:843,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:30:937,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:32:04:471,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:26:44:016,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:40:937,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:32:53:047,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:25:31:273,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:01:30:773,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:23:52:212,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:23:33:679,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:22:09:411,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:08:01:623,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
