case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:23:905,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:32:02:106,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:31:33:845,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:21:32:477,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:15:27:090,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:04:40:785,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:00:41:020,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:37:41:934,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:33:905,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:02:02:785,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:57:40:669,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:38:06:956,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:31:53:656,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:28:22:151,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:17:37:726,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:43:905,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:51:00:871,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:41:28:187,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:53:905,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:34:12:726,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:21:59:730,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:03:48:204,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:57:05:632,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:42:35:896,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:29:39:284,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:24:16:442,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:11:03:905,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:43:28:465,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:32:46:279,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:06:10:274,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 16:37:31:917,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:27:17:489,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:16:22:739,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 18:41:21:876,Michaele,normal,normal,"-"
5,9,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:11:13:905,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:51:09:890,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:39:48:377,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:30:05:794,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:01:10:796,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:53:39:100,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:41:39:281,Maryellen,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:11:23:905,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:56:21:109,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:52:11:128,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:36:20:532,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:07:35:660,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:00:24:570,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:40:57:015,Alpha,normal,normal,"-"
7,8,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:33:905,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 14:52:14:160,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:40:59:252,Michaele,normal,normal,"-"
8,4,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity O,2020-06-27 14:11:43:905,Ronald,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,2,Activity A,2020-06-27 14:36:40:407,Keven,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,3,Activity U,2020-06-27 15:29:11:248,Velda,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,4,Activity X,2020-06-27 16:15:18:104,Pam,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,5,Activity V,2020-06-27 16:30:40:689,Maryellen,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,6,Activity P,2020-06-27 17:29:47:024,Ryan,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,7,Activity B,2020-06-27 18:13:18:667,Alpha,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity Y,2020-06-27 14:11:53:905,Johnny,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
10,2,Activity A,2020-06-27 15:02:39:901,Shandi,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
10,3,Activity B,2020-06-27 15:58:47:461,Michaele,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
10,4,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity D,2020-06-27 14:12:03:905,Keven,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
11,2,Activity A,2020-06-27 14:30:12:554,Doretta,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
11,3,Activity C,2020-06-27 15:28:17:762,Wilton,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
11,4,Activity F,2020-06-27 16:03:03:398,Howard,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
11,5,Activity I,2020-06-27 16:44:14:081,Maryellen,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
11,6,Activity K,2020-06-27 17:40:53:207,Velda,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
11,7,Activity J,2020-06-27 18:18:41:539,Jamika,normal,anomalous,"{'shift_from': 4, 'shift_to': 0, 'size': 1}"
