case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:49:866,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:09:46:818,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:03:25:195,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:46:55:746,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:27:44:382,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:13:38:728,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:07:01:154,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:48:18:716,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:59:866,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:57:20:531,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:44:59:507,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:37:24:313,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:30:56:257,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:19:22:697,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:00:13:334,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:09:866,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:35:10:487,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:32:22:821,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:19:866,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:26:25:474,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:18:05:576,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:48:53:849,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:25:06:508,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:20:34:867,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:08:00:941,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:38:14:265,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:29:866,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:34:01:953,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:30:13:569,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 17:12:21:408,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:48:27:564,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:45:07:156,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:33:48:475,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 20:31:01:644,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:39:866,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:01:57:152,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:49:50:305,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:35:23:035,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:10:05:548,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:56:21:993,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:40:24:138,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:49:866,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 15:30:02:918,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 16:26:00:823,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 17:24:11:383,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 18:11:29:043,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 19:07:34:188,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:54:43:237,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:59:866,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:23:29:833,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:16:09:061,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:38:09:866,Keven,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,2,Activity O,2020-06-27 15:34:35:073,Ronald,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,3,Activity A,2020-06-27 16:33:05:897,Keven,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,4,Activity O,2020-06-27 17:04:04:417,Ronald,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,5,Activity U,2020-06-27 17:29:04:292,Velda,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,6,Activity X,2020-06-27 18:17:49:597,Pam,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,7,Activity V,2020-06-27 19:07:12:235,Maryellen,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,8,Activity P,2020-06-27 19:31:59:142,Ryan,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,9,Activity B,2020-06-27 20:29:34:681,Alpha,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ronald'}}]}"
9,10,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:19:866,Shandi,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Johnny'}}]}"
10,2,Activity Y,2020-06-27 15:03:09:977,Johnny,normal,anomalous,"{'size': 2, 'start': 2, 'inserted': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Shandi'}}, {'name': 'Activity Y', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Johnny'}}]}"
