case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:17:07:261,Sherlene,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,2,Activity B,2020-06-27 17:47:10:393,Earl,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,3,Activity C,2020-06-27 18:44:43:889,Brant,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,4,Activity D,2020-06-27 19:33:50:205,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,5,Activity E,2020-06-27 19:55:32:266,Hugo,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,6,Activity G,2020-06-27 20:41:16:532,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,7,Activity H,2020-06-27 21:27:46:515,Hoyt,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,8,Activity I,2020-06-27 21:45:06:796,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,9,Activity J,2020-06-27 22:33:13:438,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,10,Activity F,2020-06-27 23:30:10:718,Howard,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:17:17:261,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:40:09:222,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:38:12:844,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:31:07:834,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:10:26:374,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:01:14:654,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:31:14:916,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:17:27:261,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:33:01:132,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:18:57:446,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:00:19:164,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:57:10:140,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:53:34:585,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:25:29:520,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:11:20:929,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:08:42:159,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:01:12:211,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:17:37:261,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:41:01:594,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:40:58:484,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:40:22:113,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:36:16:928,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:22:49:866,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:52:57:167,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:50:08:106,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:42:23:856,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:18:51:235,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:17:47:261,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 18:13:52:170,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 19:02:40:571,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:50:34:212,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:09:53:195,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 20:59:18:511,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:54:40:676,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:38:04:456,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:24:41:794,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:12:23:400,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:17:57:261,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:51:50:776,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:45:45:204,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:38:50:114,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:31:41:098,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:20:07:751,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:59:46:993,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:18:07:261,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 18:07:20:619,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:56:17:622,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:32:03:416,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:12:53:044,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 21:01:54:113,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:57:05:965,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:26:54:421,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:22:41:100,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-28 00:03:35:611,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:18:17:261,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 18:05:52:126,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 19:00:54:352,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:52:28:637,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 20:27:27:666,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 21:15:10:221,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 22:08:37:493,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:18:27:261,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 18:00:55:270,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:54:06:691,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:49:08:696,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:36:15:568,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 21:33:19:039,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 22:04:53:499,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:58:39:750,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:57:41:079,Sonia,normal,normal,"-"
