case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:11:286,Sherlene,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,2,Activity B,2020-06-27 14:55:57:105,Earl,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,3,Activity C,2020-06-27 15:46:34:360,Brant,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,4,Activity D,2020-06-27 16:41:47:628,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,5,Activity E,2020-06-27 16:59:28:195,Hugo,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,6,Activity G,2020-06-27 17:56:48:791,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,7,Activity H,2020-06-27 18:37:55:483,Hoyt,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,8,Activity I,2020-06-27 19:18:15:406,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,9,Activity J,2020-06-27 20:15:54:568,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,10,Activity F,2020-06-27 21:09:38:674,Howard,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:21:286,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:07:33:906,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:01:38:529,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:57:45:829,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:47:50:064,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:33:32:462,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:30:44:890,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:31:286,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:55:06:831,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:46:09:156,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:46:00:575,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:32:31:488,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:30:27:511,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:29:09:688,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 20:25:06:229,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 21:19:52:375,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 22:19:34:582,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:41:286,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:38:08:466,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:34:39:484,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:16:13:327,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:05:31:814,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:54:40:939,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:28:46:795,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:28:17:098,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:19:46:349,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:16:05:590,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:51:286,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:01:59:664,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:55:28:947,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:34:44:805,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 16:55:07:098,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 17:44:32:269,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:17:25:721,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 18:51:14:762,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 19:45:34:242,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 20:38:31:946,Emily,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:11:01:286,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 15:07:23:334,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 16:04:50:169,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:54:25:796,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 17:39:41:901,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 18:30:14:338,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 19:23:29:557,Lisa,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:11:11:286,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 14:54:11:301,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:43:49:924,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:30:43:775,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:16:57:500,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:09:53:188,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 19:01:12:294,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:18:21:588,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:09:33:336,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 20:49:36:061,Howard,normal,normal,"-"
7,11,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:21:286,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:43:46:799,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:41:07:901,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:14:24:155,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 16:42:22:310,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 17:36:29:942,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 18:08:29:183,Lisa,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:31:286,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 15:09:14:022,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 15:56:50:376,James,normal,normal,"-"
9,4,Activity D,2020-06-27 16:33:39:474,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 17:01:23:647,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 17:49:30:883,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 18:40:01:722,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 18:55:42:251,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 19:49:33:833,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 20:32:03:127,Howard,normal,normal,"-"
9,11,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:41:286,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 14:35:03:763,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 15:25:58:564,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 16:06:02:251,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 17:01:08:920,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 17:58:07:341,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 18:52:19:535,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 19:34:31:878,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 20:23:53:277,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 20:56:00:029,Emily,normal,normal,"-"
10,11,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:51:286,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 15:06:28:950,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 16:03:06:728,James,normal,normal,"-"
11,4,Activity D,2020-06-27 16:41:04:311,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 17:26:08:638,Gema,normal,normal,"-"
