case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:09:697,Sherlene,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,2,Activity B,2020-06-27 14:49:33:962,Earl,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,3,Activity H,2020-06-27 15:46:15:957,Hoyt,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,4,Activity C,2020-06-27 16:33:00:941,Brant,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,5,Activity D,2020-06-27 17:24:48:554,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,6,Activity E,2020-06-27 18:13:55:729,Hugo,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,7,Activity G,2020-06-27 18:57:36:898,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,8,Activity I,2020-06-27 19:52:18:363,Jack,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,9,Activity J,2020-06-27 20:39:39:670,Sonia,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,10,Activity F,2020-06-27 21:30:10:762,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:19:697,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:02:41:693,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:50:15:411,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:39:01:013,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:06:20:098,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:03:28:079,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:00:21:621,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:29:697,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:01:55:692,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:47:52:127,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:28:25:907,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:02:42:724,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:52:59:703,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:35:42:168,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:35:25:542,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:25:21:048,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:14:07:978,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:39:697,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:02:10:834,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:49:53:532,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:35:41:557,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 16:54:23:242,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:47:47:998,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:44:01:568,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:41:50:871,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:38:07:100,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:32:41:150,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:49:697,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 14:44:03:649,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:30:16:573,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:04:48:831,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:00:33:429,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 17:49:45:233,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:38:00:621,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:11:53:144,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 19:59:36:673,Amanda,normal,normal,"-"
