case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:49:629,Sherlene,normal,anomalous,"-"
1,2,Activity B,2020-06-27 15:09:01:379,Earl,normal,anomalous,"-"
1,3,Activity C,2020-06-27 15:59:17:766,Brant,normal,anomalous,"-"
1,4,Activity D,2020-06-27 16:49:15:903,Lourdes,normal,anomalous,"-"
1,5,Activity E,2020-06-27 17:33:41:389,Hugo,normal,anomalous,"-"
1,6,Activity G,2020-06-27 18:21:26:576,Lourdes,normal,anomalous,"-"
1,7,Activity H,2020-06-27 18:51:42:393,Hoyt,normal,anomalous,"-"
1,8,Random activity 3,2020-06-27 19:20:03:521,Random user 64,normal,anomalous,"-"
1,9,Activity I,2020-06-27 20:11:38:044,Jack,normal,anomalous,"-"
1,10,Activity J,2020-06-27 21:01:19:881,Sonia,normal,anomalous,"-"
1,11,Activity F,2020-06-27 21:47:23:392,Howard,normal,anomalous,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:59:629,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:05:17:570,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:03:28:889,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:56:04:141,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:16:16:306,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:04:22:604,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:36:19:237,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:09:629,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:16:41:362,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:07:02:573,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:48:52:163,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:24:24:593,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:16:03:422,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:57:03:041,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:53:46:085,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:52:49:243,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:40:14:815,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:19:629,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:35:48:478,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:23:19:664,James,normal,normal,"-"
4,4,Activity D,2020-06-27 17:06:01:577,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 18:00:24:932,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:57:47:813,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 19:32:33:386,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 20:11:06:287,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 21:05:10:684,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:42:40:227,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:29:629,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:19:35:422,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:15:03:208,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:58:14:544,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:14:02:552,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:01:39:449,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:35:06:337,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:33:07:073,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:33:03:668,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:15:14:837,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:39:629,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 15:21:11:882,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 16:13:21:270,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 17:05:10:625,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 17:30:49:267,Paul,normal,normal,"-"
