case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:12:653,Sherlene,normal,anomalous,"-"
1,2,Activity B,2020-06-27 14:28:06:960,Earl,normal,anomalous,"-"
1,3,Activity C,2020-06-27 15:18:11:589,Brant,normal,anomalous,"-"
1,4,Activity D,2020-06-27 15:50:47:016,Lourdes,normal,anomalous,"-"
1,5,Activity E,2020-06-27 16:19:53:602,Hugo,normal,anomalous,"-"
1,6,Activity G,2020-06-27 17:12:09:659,Lourdes,normal,anomalous,"-"
1,7,Activity H,2020-06-27 17:50:04:701,Hoyt,normal,anomalous,"-"
1,8,Random activity 3,2020-06-27 18:23:07:323,Random user 64,normal,anomalous,"-"
1,9,Activity I,2020-06-27 19:09:44:882,Jack,normal,anomalous,"-"
1,10,Activity J,2020-06-27 19:58:46:917,Sonia,normal,anomalous,"-"
1,11,Activity F,2020-06-27 20:34:56:364,Howard,normal,anomalous,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:22:653,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:31:07:617,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:18:20:753,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:03:29:954,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:45:21:021,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:31:19:578,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:21:51:111,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:32:653,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:42:28:016,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:39:22:356,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:35:49:028,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:07:15:943,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:06:21:557,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:38:49:268,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:35:12:801,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:27:46:196,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:16:30:209,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:42:653,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:31:04:246,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:27:47:310,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:24:01:484,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 16:58:03:550,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:46:29:267,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:27:58:553,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:15:47:320,Sonia,normal,normal,"-"
