case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:44:916,Sherlene,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,2,Activity B,2020-06-27 15:18:14:668,Earl,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,3,Activity D,2020-06-27 16:04:29:857,Lourdes,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,4,Activity E,2020-06-27 16:34:31:515,Hugo,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,5,Activity G,2020-06-27 16:50:54:385,Lourdes,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,6,Activity H,2020-06-27 17:38:52:162,Hoyt,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,7,Activity C,2020-06-27 18:15:41:063,Brant,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,8,Activity I,2020-06-27 18:50:02:725,Jack,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,9,Activity J,2020-06-27 19:35:06:229,Sonia,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,10,Activity F,2020-06-27 20:25:41:538,Howard,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:54:916,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:19:06:516,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:07:07:389,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:40:04:827,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:05:31:931,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:58:30:648,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:30:58:817,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:04:916,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:57:08:252,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:46:23:591,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:37:18:450,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:06:09:398,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:58:51:924,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:46:47:430,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:11:11:973,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:08:42:859,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:03:07:717,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:14:916,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:16:33:394,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:09:11:948,James,normal,normal,"-"
4,4,Activity D,2020-06-27 17:03:05:617,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:26:45:632,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:25:56:850,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 19:13:50:593,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:59:35:033,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:54:46:243,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:47:54:109,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:24:916,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:32:36:602,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:32:06:618,James,normal,normal,"-"
5,4,Activity D,2020-06-27 17:19:45:812,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:54:07:881,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:45:11:656,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:26:14:095,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:55:52:581,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:51:20:764,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:34:47:465,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity C,2020-06-27 14:37:34:916,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,2,Activity D,2020-06-27 15:24:38:718,Lourdes,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,3,Activity E,2020-06-27 16:21:21:984,Paul,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
