case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:08:01:638,Sherlene,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,2,Activity B,2020-06-27 17:40:20:191,Earl,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,3,Activity C,2020-06-27 18:27:42:077,Brant,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,4,Activity D,2020-06-27 19:01:28:406,Lourdes,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,5,Activity E,2020-06-27 19:32:12:687,Hugo,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,6,Activity H,2020-06-27 20:21:31:053,Hoyt,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,7,Activity I,2020-06-27 21:04:41:130,Jack,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,8,Activity J,2020-06-27 22:01:45:031,Sonia,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,9,Activity F,2020-06-27 23:01:34:109,Howard,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,10,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:11:638,Sherlene,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Doretta'}}]}"
2,2,Activity C,2020-06-27 17:34:04:911,Brant,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Doretta'}}]}"
2,3,Activity D,2020-06-27 18:22:26:797,Lourdes,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Doretta'}}]}"
2,4,Activity E,2020-06-27 19:00:39:759,Paul,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Doretta'}}]}"
2,5,Activity T,2020-06-27 19:22:43:227,Ryan,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Doretta'}}]}"
2,6,Activity F,2020-06-27 20:14:40:717,Lisa,normal,anomalous,"{'size': 1, 'start': 1, 'skipped': [{'name': 'Activity B', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Doretta'}}]}"
2,7,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:21:638,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:02:18:581,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:58:29:209,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:29:03:341,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:56:08:601,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:49:16:923,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:43:23:813,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:38:26:754,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:25:29:595,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:22:22:059,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:31:638,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:48:21:509,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:34:02:266,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:31:07:733,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 19:50:52:582,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:43:44:438,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:35:57:887,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:00:45:990,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 22:54:21:147,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 23:31:45:500,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:41:638,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 18:06:05:815,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:57:55:731,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:57:30:056,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:18:49:666,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:15:10:661,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 22:01:34:652,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 23:00:32:588,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-28 00:00:01:850,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:43:34:631,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:51:638,Sherlene,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
6,2,Activity B,2020-06-27 17:25:31:353,Doretta,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
6,3,Activity C,2020-06-27 18:22:07:049,Brant,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
6,4,Activity T,2020-06-27 19:13:45:901,Ryan,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
6,5,Activity F,2020-06-27 19:51:04:032,Lisa,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Paul'}}]}"
6,6,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:09:01:638,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:33:34:685,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:26:07:665,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:21:01:308,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:05:43:293,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:59:19:548,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:40:23:003,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 21:57:28:769,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 22:49:37:082,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:43:49:235,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:11:638,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:26:22:551,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:15:52:172,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 18:52:29:450,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 19:43:57:178,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 20:36:43:510,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 21:11:49:084,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:21:638,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 18:05:51:703,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 19:04:58:645,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:44:44:338,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:10:14:225,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 21:07:11:755,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:40:42:484,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:34:23:437,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:20:19:833,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 23:56:34:685,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:31:638,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:41:19:532,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:29:31:010,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:26:32:300,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 20:25:06:015,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 21:10:50:833,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 22:03:39:267,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 22:21:16:725,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 23:06:40:242,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-28 00:01:50:009,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:41:638,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 17:39:30:254,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 18:30:26:627,James,normal,normal,"-"
11,4,Activity D,2020-06-27 19:01:52:687,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 19:52:44:567,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 20:50:24:804,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 21:43:49:759,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 22:41:10:678,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 23:27:15:549,Keven,normal,normal,"-"
11,10,Activity F,2020-06-28 00:18:51:361,Howard,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:51:638,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 18:01:28:111,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 18:56:07:042,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 19:43:42:869,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 20:13:02:514,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 21:01:49:499,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 21:35:04:963,James,normal,normal,"-"
12,8,Activity I,2020-06-27 22:04:14:609,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 22:53:36:671,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 23:44:09:106,Howard,normal,normal,"-"
12,11,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:10:01:638,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 17:35:46:911,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 18:27:19:439,James,normal,normal,"-"
13,4,Activity D,2020-06-27 19:19:49:367,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 19:41:24:161,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 20:39:21:354,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 21:37:06:525,James,normal,normal,"-"
13,8,Activity I,2020-06-27 22:18:11:344,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 23:09:35:809,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-27 23:40:56:384,Howard,normal,normal,"-"
13,11,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:10:11:638,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 18:09:14:301,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 19:04:53:068,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 19:37:58:440,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 20:20:16:833,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 21:19:18:616,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 21:56:24:539,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 22:32:01:383,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 23:26:03:440,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-28 00:09:22:015,Howard,normal,normal,"-"
14,11,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:10:21:638,Sherlene,normal,normal,"-"
15,2,Activity B,2020-06-27 17:27:12:910,Earl,normal,normal,"-"
15,3,Activity C,2020-06-27 18:26:04:677,James,normal,normal,"-"
15,4,Activity D,2020-06-27 19:04:27:288,Lourdes,normal,normal,"-"
15,5,Activity E,2020-06-27 19:25:11:577,Gema,normal,normal,"-"
15,6,Activity K,2020-06-27 20:15:50:296,Pam,normal,normal,"-"
15,7,Activity M,2020-06-27 21:07:10:798,Issac,normal,normal,"-"
15,8,Activity N,2020-06-27 21:24:54:666,Sonia,normal,normal,"-"
15,9,Activity L,2020-06-27 22:15:18:843,Jack,normal,normal,"-"
15,10,Activity F,2020-06-27 22:54:17:698,Howard,normal,normal,"-"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:10:31:638,Sherlene,normal,normal,"-"
16,2,Activity B,2020-06-27 17:40:09:289,Doretta,normal,normal,"-"
16,3,Activity C,2020-06-27 18:37:32:033,Donald,normal,normal,"-"
16,4,Activity D,2020-06-27 19:17:37:243,Lourdes,normal,normal,"-"
16,5,Activity E,2020-06-27 20:07:40:730,Della,normal,normal,"-"
16,6,Activity K,2020-06-27 21:06:53:211,Pam,normal,normal,"-"
16,7,Activity M,2020-06-27 21:52:16:308,Issac,normal,normal,"-"
16,8,Activity N,2020-06-27 22:21:39:990,Sonia,normal,normal,"-"
16,9,Activity L,2020-06-27 23:12:27:179,Ling,normal,normal,"-"
16,10,Activity F,2020-06-27 23:43:06:893,Howard,normal,normal,"-"
16,11,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:10:41:638,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 17:40:51:788,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 18:36:36:649,James,normal,normal,"-"
17,4,Activity D,2020-06-27 19:14:24:149,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 19:42:20:505,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 20:39:24:576,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 21:22:50:137,Lisa,normal,normal,"-"
17,8,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:10:51:638,Sherlene,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Della'}}]}"
