case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:02:980,Sherlene,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,2,Activity B,2020-06-27 14:29:02:691,Earl,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,3,Activity C,2020-06-27 15:28:06:721,Brant,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,4,Activity D,2020-06-27 16:23:32:647,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,5,Activity E,2020-06-27 17:05:00:969,Steve,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,6,Activity G,2020-06-27 18:01:05:719,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,7,Activity H,2020-06-27 18:40:15:979,Hoyt,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,8,Activity I,2020-06-27 19:30:46:092,Frances,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,9,Activity J,2020-06-27 20:28:38:802,Sonia,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,10,Activity F,2020-06-27 21:09:24:397,Howard,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:12:980,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:35:34:749,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:21:17:881,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:06:13:318,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:43:19:692,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:29:06:343,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:06:42:054,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:22:980,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:05:56:762,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:59:50:824,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:47:04:588,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:31:36:523,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:24:15:688,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:00:40:718,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:23:18:946,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:19:17:025,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:55:50:107,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:32:980,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:35:33:165,Doretta,normal,normal,"-"
