case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:18:513,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:26:10:224,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:13:03:807,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 15:49:58:103,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:25:37:039,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:19:25:921,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:28:513,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:52:31:974,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:42:00:617,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:27:10:635,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:19:23:264,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:13:29:052,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:52:47:490,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:38:513,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:27:46:723,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:23:22:504,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:01:46:921,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:42:22:024,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:31:51:486,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:48:513,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:27:29:715,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:27:25:258,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:26:17:387,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:54:29:350,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:49:42:433,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:49:38:747,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:58:513,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:10:56:536,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:08:35:871,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:48:28:831,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:24:01:807,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:13:23:707,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:11:08:513,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:52:13:049,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:41:30:447,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:37:42:884,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:01:23:543,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 17:50:22:367,Gema,normal,normal,"-"
6,7,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:11:18:513,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:31:29:481,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:24:53:452,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:15:59:651,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 16:43:06:012,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 17:39:50:461,Grayce,normal,normal,"-"
7,7,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:28:513,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:31:43:165,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:21:08:443,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:08:31:652,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 16:49:42:940,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 17:38:38:700,Deloras,normal,normal,"-"
8,7,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:38:513,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:50:41:319,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:39:49:092,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:22:11:871,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:00:42:786,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 17:57:45:420,Deloras,normal,normal,"-"
9,7,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:48:513,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 14:29:23:267,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 15:21:47:355,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 15:54:09:689,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 16:18:41:960,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 17:11:27:364,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 18:04:04:804,Deloras,normal,normal,"-"
10,8,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:58:513,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 15:06:01:273,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 15:56:31:674,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 16:35:45:423,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 17:30:53:376,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 18:17:13:026,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 19:15:45:520,Tiffiny,normal,normal,"-"
11,8,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Random activity 32,2020-06-27 14:12:08:513,Random user 1,normal,anomalous,"-"
12,2,Activity A,2020-06-27 14:48:35:975,Della,normal,anomalous,"-"
