case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:13:479,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:01:17:237,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:50:02:241,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:20:06:870,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:07:55:378,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:03:26:550,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:23:479,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:00:57:334,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:48:03:658,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:31:58:941,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 16:55:38:383,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:40:59:201,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:21:49:721,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:33:479,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:47:59:745,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:44:41:078,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:34:08:106,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:19:25:003,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:12:20:700,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:43:479,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:05:41:938,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:03:30:323,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:57:44:081,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:35:49:864,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:22:36:258,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:54:24:839,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:53:479,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:39:21:773,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:29:46:206,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:07:36:091,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:40:03:779,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:26:15:434,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:11:03:479,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:09:29:351,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:06:50:046,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:02:00:660,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:42:11:899,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:36:33:466,Gema,normal,normal,"-"
6,7,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
