case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:57:478,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:39:29:921,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:31:49:450,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:11:49:608,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:48:57:908,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:35:10:934,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:07:478,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 18:00:41:964,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:59:18:496,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:52:11:079,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:44:11:157,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:39:09:824,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 22:10:47:640,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:17:478,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 18:07:39:547,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 19:01:59:621,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 20:01:13:410,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:23:57:201,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:12:50:824,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:27:478,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:25:16:563,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:13:05:935,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 18:50:21:428,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:24:33:913,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:15:55:969,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 20:52:41:459,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
