case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:46:151,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:21:40:864,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:12:27:639,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:49:54:205,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:14:57:180,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:11:34:807,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:56:151,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:12:06:181,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:03:12:055,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:54:48:067,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:41:11:643,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:28:43:077,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:05:50:334,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:06:151,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:58:23:792,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:51:34:069,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:39:30:780,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:38:03:369,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:28:38:757,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:16:151,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:33:03:900,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:19:20:101,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:13:18:213,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:40:42:213,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:30:14:892,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:25:33:503,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:26:151,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:03:17:364,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:53:38:363,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:34:29:015,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:21:25:153,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:15:04:395,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:36:151,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:23:03:396,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:18:47:385,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:06:14:804,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:55:55:050,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:50:47:419,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:46:151,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:01:00:466,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:57:34:039,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:32:59:117,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:09:15:358,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 17:58:13:722,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:56:151,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 15:01:42:444,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:53:27:772,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:31:30:159,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:19:13:041,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:13:47:262,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:38:06:151,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:54:25:324,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:54:18:367,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 16:28:42:440,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 17:24:01:676,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 18:15:49:685,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:16:151,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 15:29:53:243,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 16:15:22:666,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 17:00:32:244,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 17:44:36:325,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 18:36:38:006,Hoyt,normal,normal,"-"
