case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:06:238,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:06:01:077,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:04:58:405,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:39:35:232,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:07:45:843,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:58:42:779,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:16:238,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:29:41:406,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:27:14:106,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:14:04:388,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 16:30:08:556,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:23:26:408,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 17:54:02:542,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:26:238,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:44:01:291,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:33:30:596,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:31:24:081,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:28:59:624,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:23:05:695,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:36:238,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:43:28:399,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:28:43:327,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:25:54:958,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:55:20:445,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:53:46:522,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:53:00:617,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:46:238,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:42:50:546,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:38:13:591,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:10:57:139,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:39:01:418,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:27:44:341,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:56:238,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:40:50:103,Roy,normal,normal,"-"
