case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:53:324,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:06:48:927,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:52:05:161,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:24:43:253,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:09:42:229,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:04:15:916,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:37:03:324,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:22:08:843,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:15:38:470,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 17:03:49:450,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:49:34:225,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:45:38:557,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:23:21:596,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:13:324,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:21:00:821,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:11:03:970,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:49:40:328,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:30:47:297,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:25:35:072,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:23:324,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:05:10:164,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:52:28:717,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:40:28:468,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:07:56:926,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:59:10:732,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:47:14:548,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:33:324,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:19:44:393,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:06:16:711,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:39:49:631,Jamika,normal,normal,"-"
