case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:54:219,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:28:12:323,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:23:43:709,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 18:54:06:442,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:19:00:865,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:05:44:679,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 20:45:29:499,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:04:219,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:28:08:726,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:27:20:587,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:14:219,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:53:58:232,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:50:45:249,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:24:219,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:57:02:068,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:47:17:097,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:34:219,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 18:07:42:578,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:56:01:051,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:44:219,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:58:51:861,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:58:14:708,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:54:219,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 18:03:09:610,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 19:03:08:870,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:04:219,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 18:00:19:809,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:46:39:025,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:45:28:084,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:35:53:434,James,normal,normal,"-"
8,6,Activity S,2020-06-27 21:23:01:424,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 22:18:34:599,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:14:219,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:59:00:376,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:48:49:223,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:24:59:419,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 19:42:10:483,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 20:31:50:671,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:03:17:754,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:24:219,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 18:01:06:835,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:47:39:557,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:25:08:746,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 20:08:49:799,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:55:15:069,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:39:18:783,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 22:16:16:002,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:34:219,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 17:51:42:830,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:41:01:401,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:24:19:801,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 19:45:57:036,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 20:34:08:647,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:29:38:315,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 22:28:56:715,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:44:219,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 17:51:20:704,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:44:41:018,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:54:219,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 17:26:07:552,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 18:14:51:682,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:10:04:219,Steve,normal,normal,"-"
