case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:48:041,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:35:03:630,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:24:14:571,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:01:00:743,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:49:34:105,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:45:23:419,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:45:04:401,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:09:58:041,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 14:59:04:448,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 15:50:24:230,Deloras,normal,normal,"-"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:08:041,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:26:20:056,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:25:44:388,Steve,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:18:041,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:38:31:168,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:31:45:931,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:28:041,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:27:49:596,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:16:17:241,Elisha,normal,normal,"-"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:38:041,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:28:23:982,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:24:05:801,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:48:041,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:58:08:135,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:49:22:530,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:10:58:041,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 14:56:14:833,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 15:53:54:910,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:30:50:634,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:29:42:833,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:27:12:622,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 19:07:53:570,Tiffiny,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:08:041,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:07:20:262,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 16:05:55:066,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:49:38:498,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:20:40:189,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:07:09:679,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 18:50:20:876,Ronald,normal,normal,"-"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:18:041,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 14:55:43:219,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 15:45:10:887,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 16:17:57:421,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 16:37:54:742,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 17:28:37:541,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 18:26:35:608,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:05:46:858,Ronald,normal,normal,"-"
10,9,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:28:041,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 14:43:07:010,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 15:31:15:902,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:15:29:988,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 16:49:54:990,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 17:36:24:651,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 18:25:55:336,Brian,normal,normal,"-"
