case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:49:976,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:26:29:325,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:19:38:698,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:04:31:433,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:45:10:978,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:43:49:487,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:23:55:651,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:59:976,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:35:16:632,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:24:56:933,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:09:976,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:51:18:849,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:44:49:742,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:19:976,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 18:07:15:992,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 19:06:38:505,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:29:976,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:56:19:149,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:56:08:358,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:39:976,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:34:02:672,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:32:01:540,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:49:976,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:38:29:424,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:24:38:215,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:59:976,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:58:01:458,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:53:12:476,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:51:34:333,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:34:34:728,James,normal,normal,"-"
8,6,Activity S,2020-06-27 21:30:29:088,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 22:27:02:212,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:09:976,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:51:38:186,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:46:31:198,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:37:27:633,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 20:29:44:477,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 21:27:22:237,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 22:07:44:602,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:19:976,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:40:03:329,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:34:49:849,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:11:31:633,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 19:50:57:455,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:49:04:724,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:26:20:646,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 22:16:09:261,Ronald,normal,normal,"-"
10,9,■,,,,,""
