case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:37:776,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:26:30:777,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:14:27:353,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:56:20:859,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:27:45:255,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:27:16:354,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:00:03:650,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:47:776,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:23:40:180,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:15:16:033,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:57:776,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:29:17:119,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:25:11:919,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:07:776,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:23:19:762,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 16:16:25:559,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:17:776,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:18:57:535,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:11:38:991,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:27:776,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:37:11:891,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 16:32:17:727,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:37:776,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:32:03:172,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:28:29:706,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:47:776,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 14:59:12:095,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 15:49:59:254,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:37:26:057,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:33:48:657,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:22:14:863,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 19:20:02:773,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:57:776,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 14:53:23:505,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 15:47:15:009,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 16:45:05:333,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:02:25:326,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 17:49:47:811,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 18:41:00:094,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:07:776,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 15:06:57:737,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 16:03:58:545,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 17:03:39:142,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:25:52:123,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:24:29:950,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 18:55:49:939,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:20:44:616,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:17:776,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:18:28:089,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 16:07:53:149,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:43:07:601,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 16:59:35:293,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 17:59:33:397,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 18:33:09:378,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 18:51:55:699,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:27:776,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 15:11:44:837,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 16:07:39:356,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:38:37:776,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 14:59:36:969,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 15:51:37:671,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:38:47:776,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 15:05:58:188,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 15:54:10:029,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 16:47:06:652,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 17:06:29:369,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 17:58:43:276,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 18:57:11:222,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 19:50:00:111,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:38:57:776,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 15:29:34:503,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 16:23:24:095,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:39:07:776,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 15:17:01:349,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 16:13:00:134,Michaele,normal,normal,"-"
