case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:54:373,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:55:24:529,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:53:35:568,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:40:23:205,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:59:18:506,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:52:20:160,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:51:20:977,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:04:373,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:54:56:611,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:45:53:235,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:14:373,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:59:46:864,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:59:11:327,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:24:373,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 18:08:04:646,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 19:03:40:998,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:34:373,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:39:12:901,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:34:56:173,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:44:373,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:44:54:021,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:32:54:814,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:54:373,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:33:20:343,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:27:15:523,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:04:373,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:24:30:059,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:15:45:328,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 18:48:01:432,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 19:43:34:814,James,normal,normal,"-"
8,6,Activity S,2020-06-27 20:39:44:410,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:15:27:008,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:14:373,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:32:50:884,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:18:51:548,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 18:50:05:354,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 19:14:20:381,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 20:00:16:523,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 20:40:45:786,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:24:373,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:57:04:642,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:45:53:443,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:24:39:422,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 19:49:38:352,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:35:01:131,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:16:34:396,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 21:41:13:395,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:34:373,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 18:07:49:907,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:56:13:895,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:39:48:253,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 20:00:29:444,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 21:00:05:765,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:41:43:542,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 22:09:44:845,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:44:373,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 18:05:35:234,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 19:00:41:616,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:54:373,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 17:44:56:422,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 18:31:31:200,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:10:04:373,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:45:04:824,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 18:40:12:536,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 19:35:29:498,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 19:51:46:289,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 20:39:54:901,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 21:35:17:277,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 22:19:06:960,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:10:14:373,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 18:08:26:143,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 19:07:51:190,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:10:24:373,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 17:48:35:555,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 18:48:14:227,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 19:39:05:515,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 20:06:06:118,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 21:02:23:105,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 21:48:58:423,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 22:40:36:617,Ronald,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:10:34:373,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 18:08:06:396,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 19:00:40:143,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 19:53:29:425,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 20:34:54:402,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 21:27:52:169,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 21:59:51:546,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 22:27:39:800,Tiffiny,normal,normal,"-"
17,9,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:10:44:373,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 17:41:50:898,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 18:30:29:336,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 19:09:32:364,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 20:04:10:250,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 20:52:42:053,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 21:28:52:260,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 22:28:41:704,Deloras,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:10:54:373,Frances,normal,normal,"-"
19,2,Activity BD,2020-06-27 18:10:29:927,Lisa,normal,normal,"-"
19,3,Activity BP,2020-06-27 19:04:15:827,Carmella,normal,normal,"-"
19,4,Activity BE,2020-06-27 19:42:15:738,Lisa,normal,normal,"-"
19,5,Activity BQ,2020-06-27 20:15:03:108,Jamika,normal,normal,"-"
19,6,Activity BR,2020-06-27 21:08:36:710,Elisha,normal,normal,"-"
19,7,Activity BU,2020-06-27 21:58:20:770,Clayton,normal,normal,"-"
19,8,Activity BS,2020-06-27 22:45:56:705,Hoyt,normal,normal,"-"
19,9,Activity B,2020-06-27 23:45:19:779,Joe,normal,normal,"-"
19,10,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:11:04:373,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 18:10:47:863,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 18:59:32:318,Tiffiny,normal,normal,"-"
20,4,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 17:11:14:373,Micheline,normal,normal,"-"
21,2,Activity T,2020-06-27 17:31:36:107,Jack,normal,normal,"-"
21,3,Activity AN,2020-06-27 18:27:09:322,Brian,normal,normal,"-"
21,4,Activity AP,2020-06-27 19:17:23:223,Tiffiny,normal,normal,"-"
21,5,Activity AO,2020-06-27 19:46:24:131,Iluminada,normal,normal,"-"
21,6,Activity U,2020-06-27 20:41:00:091,Hoyt,normal,normal,"-"
21,7,Activity B,2020-06-27 21:17:17:810,Rossie,normal,normal,"-"
21,8,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 17:11:24:373,Joe,normal,normal,"-"
22,2,Activity BC,2020-06-27 17:51:00:392,Micheline,normal,normal,"-"
22,3,Activity B,2020-06-27 18:48:43:996,Tiffiny,normal,normal,"-"
22,4,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 17:11:34:373,Micheline,normal,normal,"-"
23,2,Activity T,2020-06-27 17:27:56:513,Grayce,normal,normal,"-"
23,3,Activity AC,2020-06-27 18:27:03:728,Ling,normal,normal,"-"
23,4,Activity AE,2020-06-27 19:11:06:416,Amanda,normal,normal,"-"
23,5,Activity AD,2020-06-27 20:08:29:283,Howard,normal,normal,"-"
23,6,Activity U,2020-06-27 21:02:17:262,Rossie,normal,normal,"-"
23,7,Activity B,2020-06-27 21:39:48:455,Joe,normal,normal,"-"
23,8,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 17:11:44:373,Micheline,normal,normal,"-"
24,2,Activity T,2020-06-27 17:31:16:212,Jack,normal,normal,"-"
24,3,Activity AN,2020-06-27 18:27:53:797,Micheline,normal,normal,"-"
24,4,Activity AP,2020-06-27 19:06:04:683,Tiffiny,normal,normal,"-"
24,5,Activity AO,2020-06-27 19:44:24:173,Iluminada,normal,normal,"-"
24,6,Activity U,2020-06-27 20:39:20:751,Lisa,normal,normal,"-"
24,7,Activity B,2020-06-27 21:11:48:501,Lucy,normal,normal,"-"
24,8,■,,,,,""
25,0,▶,,,,,""
