case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:42:583,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:29:26:352,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:19:08:131,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:53:50:183,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:29:46:099,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:29:30:454,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:03:24:821,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:52:583,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:26:43:371,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:14:37:656,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:02:583,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:24:34:828,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:12:30:708,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:12:583,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:58:28:807,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:51:16:759,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:22:583,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:04:27:250,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:54:31:116,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:32:583,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:11:07:934,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 16:03:57:438,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:42:583,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:08:12:000,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:06:57:471,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
