case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:41:490,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:00:36:174,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:00:19:115,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:59:46:974,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:31:51:183,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:25:24:479,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:19:05:459,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:51:490,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 15:16:22:443,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 16:10:01:719,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:01:490,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:23:02:645,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:08:49:346,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:11:490,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:57:28:727,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:49:33:555,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:21:490,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:25:39:365,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:15:24:711,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:31:490,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:21:48:425,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 16:19:35:862,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:41:490,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:21:54:894,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:10:02:066,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:51:490,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 14:56:10:094,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 15:43:20:016,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 16:30:32:694,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:25:42:714,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:16:19:221,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 18:54:17:968,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:38:01:490,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 15:19:32:711,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 16:18:37:149,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 17:01:48:398,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 17:29:41:765,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 18:22:27:183,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 18:59:04:736,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:11:490,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 14:54:26:388,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 15:46:48:231,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 16:34:33:126,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:31:05:804,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:22:19:297,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 19:10:10:384,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:48:24:440,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:21:490,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:19:36:695,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 16:08:39:319,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 17:07:43:748,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:50:11:934,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 18:39:43:830,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 19:27:04:402,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 19:54:17:712,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:31:490,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 15:08:22:917,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 15:57:13:780,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:38:41:490,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 15:35:25:671,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 16:34:18:593,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:38:51:490,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 15:10:09:963,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 16:00:21:270,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 16:37:28:856,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 17:13:01:251,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 18:10:07:917,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 19:01:38:973,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 19:19:25:810,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:39:01:490,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 15:27:14:693,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 16:25:19:446,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:39:11:490,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 15:30:17:816,Grayce,normal,normal,"-"
