case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:49:823,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 18:07:19:449,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:53:53:739,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:31:00:649,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 19:57:41:629,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 20:53:05:365,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:50:21:378,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:59:823,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:24:50:411,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:10:19:922,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:09:823,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:55:38:678,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:55:16:736,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:19:823,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:43:22:099,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:41:15:279,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:29:823,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:36:41:350,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:31:10:386,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:39:823,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:34:34:241,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:32:20:501,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:49:823,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:36:57:353,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:26:01:809,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:59:823,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:48:31:058,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:35:03:845,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:31:10:336,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:24:04:342,James,normal,normal,"-"
8,6,Activity S,2020-06-27 21:19:43:077,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 22:14:06:713,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:09:823,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 18:05:50:276,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:58:45:637,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:44:38:808,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 20:37:54:677,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 21:36:24:351,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 22:28:49:795,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:19:823,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:50:30:188,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:45:10:443,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:44:24:285,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 20:26:24:229,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 21:11:24:951,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 21:50:37:698,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 22:41:53:373,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:29:823,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 17:49:23:789,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 18:43:50:572,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 19:31:45:336,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 19:54:39:228,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 20:45:55:363,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 21:34:48:609,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 22:08:46:896,Ronald,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:39:823,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 17:56:56:590,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:46:50:955,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:49:823,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 18:08:19:436,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 19:04:04:114,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:09:59:823,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:58:50:484,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 18:56:35:098,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 19:31:42:085,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 20:16:00:204,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 21:14:19:576,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 22:02:03:277,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 23:00:26:414,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:10:09:823,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 17:47:12:282,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 18:33:38:188,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:10:19:823,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 17:34:44:809,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 18:33:16:170,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 19:24:06:241,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 20:22:24:028,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 21:21:32:727,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 22:11:47:626,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 22:48:39:437,Ronald,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:10:29:823,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 18:02:01:721,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 18:54:05:743,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 19:38:08:324,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 20:11:07:730,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 21:02:39:684,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 21:53:23:262,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 22:40:46:376,Tiffiny,normal,normal,"-"
17,9,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:10:39:823,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 18:05:00:263,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 19:04:20:428,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 19:53:41:608,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 20:13:36:595,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 21:09:09:024,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 21:44:25:572,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 22:43:13:544,Deloras,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:10:49:823,Frances,normal,normal,"-"
19,2,Activity BD,2020-06-27 18:04:51:886,Lisa,normal,normal,"-"
19,3,Activity BP,2020-06-27 18:51:42:169,Carmella,normal,normal,"-"
19,4,Activity BE,2020-06-27 19:42:25:388,Lisa,normal,normal,"-"
19,5,Activity BQ,2020-06-27 20:36:53:959,Jamika,normal,normal,"-"
19,6,Activity BR,2020-06-27 21:35:23:107,Elisha,normal,normal,"-"
19,7,Activity BU,2020-06-27 22:25:29:051,Clayton,normal,normal,"-"
19,8,Activity BS,2020-06-27 23:17:24:336,Hoyt,normal,normal,"-"
19,9,Activity B,2020-06-28 00:13:22:073,Joe,normal,normal,"-"
19,10,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:10:59:823,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 17:55:02:359,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 18:47:51:440,Tiffiny,normal,normal,"-"
20,4,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 17:11:09:823,Micheline,normal,normal,"-"
21,2,Activity T,2020-06-27 17:39:46:359,Jack,normal,normal,"-"
21,3,Activity AN,2020-06-27 18:25:48:770,Brian,normal,normal,"-"
21,4,Activity AP,2020-06-27 18:57:58:901,Tiffiny,normal,normal,"-"
21,5,Activity AO,2020-06-27 19:32:09:664,Iluminada,normal,normal,"-"
