case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:47:830,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 18:06:17:384,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:53:31:192,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:33:26:803,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:28:07:189,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 21:19:06:793,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:53:57:599,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:57:830,Joe,normal,normal,"-"
2,2,Activity BC,2020-06-27 17:52:33:147,Micheline,normal,normal,"-"
2,3,Activity B,2020-06-27 18:43:14:350,Deloras,normal,normal,"-"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:07:830,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:52:47:351,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:44:34:063,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:17:830,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:34:57:048,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:23:11:746,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:27:830,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:41:06:045,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:26:50:084,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:37:830,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:57:36:630,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:51:17:586,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:47:830,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:56:07:090,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:53:50:260,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:57:830,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 17:55:33:210,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 18:52:11:150,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 19:43:00:293,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 20:13:21:809,James,normal,normal,"-"
8,6,Activity S,2020-06-27 21:11:42:002,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 21:45:10:442,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:07:830,Micheline,normal,normal,"-"
