case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:47:558,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:05:06:401,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:51:41:693,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:26:52:026,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 17:21:31:382,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 18:09:06:581,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:04:41:676,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 20:03:46:874,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:09:57:558,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 14:59:59:435,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 15:55:21:886,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:36:54:769,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:16:28:079,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:15:17:956,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 19:03:01:085,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:24:41:025,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:10:48:886,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:04:19:205,Micheline,normal,normal,"-"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:07:558,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:06:38:455,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:55:10:851,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:51:31:419,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:26:56:086,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:15:52:380,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:52:31:725,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:12:56:471,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:17:558,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:38:33:009,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:31:02:296,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:01:03:134,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 16:28:48:122,James,normal,normal,"-"
4,6,Activity F,2020-06-27 17:15:55:187,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:03:58:369,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 18:35:38:355,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 19:30:11:969,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:27:558,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:04:42:345,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:50:20:548,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:21:18:834,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:09:44:145,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:55:46:971,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:50:54:377,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:06:18:789,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:03:13:120,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:40:45:430,Hoyt,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:37:558,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:38:23:556,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:33:24:132,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:31:07:045,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:10:57:340,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:05:08:147,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 18:48:28:262,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:35:01:498,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:31:23:054,Alyce,normal,normal,"-"
6,10,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:47:558,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 14:48:33:417,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:34:37:736,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:10:43:436,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 16:59:26:494,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 17:45:50:296,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 18:27:29:993,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 19:21:59:490,Alyce,normal,normal,"-"
7,9,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:10:57:558,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 15:05:46:318,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 15:54:24:819,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 16:24:50:228,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 17:12:53:623,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 18:03:02:061,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 18:42:09:876,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 19:16:17:144,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 20:07:24:465,Alyce,normal,normal,"-"
8,10,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:07:558,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 14:40:06:746,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 15:37:54:581,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 16:28:16:580,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 17:04:05:600,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 17:50:57:417,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 18:31:58:965,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 18:54:25:421,Alyce,normal,normal,"-"
9,9,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:17:558,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 14:34:12:532,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 15:32:49:673,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 16:05:36:664,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 16:36:04:631,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 17:32:38:199,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 18:23:46:423,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 19:06:13:669,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 20:01:11:720,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 20:59:31:313,Jack,normal,normal,"-"
10,11,Activity B,2020-06-27 21:48:54:579,Alyce,normal,normal,"-"
10,12,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:27:558,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 14:26:50:915,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 15:19:31:621,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 16:07:49:181,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 16:44:36:722,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 17:41:20:254,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 18:16:44:908,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 18:38:47:212,Brant,normal,normal,"-"
11,9,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:11:37:558,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 14:49:27:104,Pam,normal,normal,"-"
12,3,Activity AP,2020-06-27 15:41:28:413,Chan,normal,normal,"-"
12,4,Activity AQ,2020-06-27 16:33:48:939,Jamika,normal,normal,"-"
12,5,Activity AR,2020-06-27 17:14:17:939,Lucy,normal,normal,"-"
12,6,Activity AS,2020-06-27 18:10:30:452,Clayton,normal,normal,"-"
12,7,Activity AJ,2020-06-27 18:45:06:305,Ling,normal,normal,"-"
12,8,Activity B,2020-06-27 19:34:36:909,Brant,normal,normal,"-"
12,9,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:11:47:558,Amanda,normal,normal,"-"
13,2,Activity C,2020-06-27 14:42:06:470,Hannah,normal,normal,"-"
13,3,Activity D,2020-06-27 15:34:00:782,Hugo,normal,normal,"-"
13,4,Activity E,2020-06-27 16:33:58:351,Lannie,normal,normal,"-"
13,5,Activity H,2020-06-27 17:18:45:293,Keven,normal,normal,"-"
13,6,Activity F,2020-06-27 18:12:55:961,Jimmy,normal,normal,"-"
13,7,Activity J,2020-06-27 18:43:05:593,Ryan,normal,normal,"-"
13,8,Activity K,2020-06-27 19:30:51:700,Tiffiny,normal,normal,"-"
13,9,Activity B,2020-06-27 20:29:46:955,Alyce,normal,normal,"-"
13,10,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:11:57:558,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 15:01:34:463,Hannah,normal,normal,"-"
14,3,Activity D,2020-06-27 15:48:44:574,Hugo,normal,normal,"-"
14,4,Activity E,2020-06-27 16:30:23:671,Keven,normal,normal,"-"
14,5,Activity G,2020-06-27 16:46:03:113,Issac,normal,normal,"-"
14,6,Activity F,2020-06-27 17:43:53:880,Jimmy,normal,normal,"-"
14,7,Activity J,2020-06-27 18:40:55:523,Tiffiny,normal,normal,"-"
14,8,Activity K,2020-06-27 19:18:36:546,Ryan,normal,normal,"-"
14,9,Activity B,2020-06-27 20:17:39:500,Alyce,normal,normal,"-"
14,10,■,-,-,-,-,"-"
15,0,▶,-,-,-,-,"-"
15,1,Activity A,2020-06-27 14:12:07:558,Amanda,normal,normal,"-"
15,2,Activity C,2020-06-27 15:00:09:366,Hannah,normal,normal,"-"
15,3,Activity D,2020-06-27 15:49:24:935,Hugo,normal,normal,"-"
15,4,Activity E,2020-06-27 16:37:32:307,Lannie,normal,normal,"-"
15,5,Activity H,2020-06-27 17:12:43:738,Josef,normal,normal,"-"
15,6,Activity F,2020-06-27 17:58:31:899,Sandra,normal,normal,"-"
15,7,Activity J,2020-06-27 18:43:39:173,Tiffiny,normal,normal,"-"
15,8,Activity K,2020-06-27 19:02:12:785,Ryan,normal,normal,"-"
15,9,Activity B,2020-06-27 19:50:17:083,Alyce,normal,normal,"-"
15,10,■,-,-,-,-,"-"
16,0,▶,-,-,-,-,"-"
16,1,Activity A,2020-06-27 14:12:17:558,Steve,normal,normal,"-"
16,2,Activity C,2020-06-27 15:06:04:593,Hannah,normal,normal,"-"
16,3,Activity D,2020-06-27 15:53:05:183,Hugo,normal,normal,"-"
16,4,Activity E,2020-06-27 16:52:46:149,Lannie,normal,normal,"-"
16,5,Activity H,2020-06-27 17:24:50:353,Josef,normal,normal,"-"
16,6,Activity F,2020-06-27 18:17:54:933,Jimmy,normal,normal,"-"
16,7,Activity J,2020-06-27 18:48:10:237,Tiffiny,normal,normal,"-"
16,8,Activity K,2020-06-27 19:29:17:078,Issac,normal,normal,"-"
