case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:50:129,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 18:02:59:744,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:48:53:956,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:36:07:912,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 20:32:33:538,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 21:21:52:319,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:58:55:896,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 22:24:53:584,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:00:129,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:54:38:348,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:54:21:793,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:52:37:305,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 20:28:14:226,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 21:19:26:185,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 22:17:07:537,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 22:48:44:654,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 23:35:04:417,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-28 00:28:32:798,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:10:129,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 18:02:17:985,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:56:04:022,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:43:59:911,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 20:13:27:848,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 21:05:49:058,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 21:43:07:075,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:11:56:702,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:20:129,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:59:07:806,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:48:03:594,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:24:03:618,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 20:17:00:741,James,normal,normal,"-"
4,6,Activity F,2020-06-27 21:14:26:588,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:53:46:412,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:30:48:666,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 23:24:27:079,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:30:129,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 17:51:12:777,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 18:50:06:853,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 19:31:29:922,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 19:48:21:427,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 20:47:22:798,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 21:35:17:465,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 22:18:19:313,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 23:17:20:663,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 23:51:28:842,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:40:129,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:37:55:230,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:32:27:133,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 19:09:03:940,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 19:43:43:230,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 20:43:38:089,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 21:22:52:962,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 22:20:41:988,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 23:15:48:387,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:50:129,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 17:30:48:579,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 18:24:50:414,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 19:19:37:357,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 19:39:48:873,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 20:36:13:703,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 21:29:45:775,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 22:26:23:934,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:00:129,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 17:47:23:754,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 18:34:29:238,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 19:20:12:500,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 20:12:05:433,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 21:05:01:480,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 21:35:17:408,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 22:07:40:369,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 23:05:40:661,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:10:129,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 17:29:45:375,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 18:23:01:219,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 19:04:58:547,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 19:33:32:165,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 20:24:47:021,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 20:56:26:891,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 21:15:22:701,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:20:129,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 18:06:22:809,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 18:56:01:247,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 19:42:29:535,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 20:36:35:409,Howard,normal,normal,"-"
