case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:53:559,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:25:19:504,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:22:51:634,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:02:28:674,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 19:42:50:691,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 20:42:44:072,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:36:49:329,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 21:52:21:681,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:03:559,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 17:33:26:096,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 18:20:24:560,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:04:08:138,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 19:19:46:683,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 20:19:11:452,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 20:49:18:551,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 21:27:41:812,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 22:22:47:595,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 22:55:05:224,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:13:559,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:44:53:058,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:40:29:930,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:27:47:822,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 20:22:53:223,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 21:13:20:912,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 22:10:39:004,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:43:10:551,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:23:559,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:48:04:243,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 18:37:51:353,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 19:36:28:450,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 20:30:25:620,James,normal,normal,"-"
4,6,Activity F,2020-06-27 21:24:10:304,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:56:14:953,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 22:33:12:216,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 23:29:23:798,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:33:559,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 18:05:49:236,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 19:01:18:396,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 19:51:39:035,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 20:20:55:236,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 21:17:21:619,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 21:55:52:054,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 22:35:01:054,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 23:28:33:631,Keven,normal,normal,"-"
5,10,Activity B,2020-06-28 00:10:24:105,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:43:559,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 17:49:33:850,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 18:41:32:111,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 19:17:13:603,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 20:09:27:632,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 21:07:57:326,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 21:41:31:741,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 22:25:18:763,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 23:20:17:258,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:53:559,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 17:35:20:026,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 18:34:33:676,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 19:19:26:283,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 20:02:26:926,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 20:59:54:456,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 21:45:28:032,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 22:37:05:099,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:03:559,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 17:41:57:225,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 18:33:05:709,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 19:22:33:016,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 20:20:42:484,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 21:12:38:634,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 21:53:28:579,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 22:17:23:012,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 23:08:37:265,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:13:559,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 17:49:13:363,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 18:45:30:431,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 19:23:54:668,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 19:57:34:613,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 20:46:11:671,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 21:41:44:731,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 22:20:23:330,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:23:559,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 17:44:36:821,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 18:44:14:454,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 19:24:04:186,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 19:49:26:896,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 20:41:39:216,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 21:12:09:091,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 22:04:14:221,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 22:57:16:876,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 23:49:17:387,Jack,normal,normal,"-"
10,11,Activity B,2020-06-28 00:43:11:461,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:33:559,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 17:32:21:886,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 18:30:57:770,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 19:02:19:316,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 19:54:43:410,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 20:49:22:072,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 21:40:07:258,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 21:58:47:861,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:09:43:559,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 17:55:48:445,Pam,normal,normal,"-"
12,3,Activity AP,2020-06-27 18:46:24:970,Chan,normal,normal,"-"
12,4,Activity AQ,2020-06-27 19:22:46:041,Jamika,normal,normal,"-"
12,5,Activity AR,2020-06-27 20:11:59:728,Lucy,normal,normal,"-"
12,6,Activity AS,2020-06-27 21:04:53:759,Clayton,normal,normal,"-"
12,7,Activity AJ,2020-06-27 21:46:54:829,Ling,normal,normal,"-"
12,8,Activity B,2020-06-27 22:16:12:566,Brant,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:09:53:559,Amanda,normal,normal,"-"
13,2,Activity C,2020-06-27 17:47:14:685,Hannah,normal,normal,"-"
13,3,Activity D,2020-06-27 18:37:09:338,Hugo,normal,normal,"-"
13,4,Activity E,2020-06-27 19:35:24:513,Lannie,normal,normal,"-"
13,5,Activity H,2020-06-27 20:24:29:680,Keven,normal,normal,"-"
13,6,Activity F,2020-06-27 21:15:25:947,Jimmy,normal,normal,"-"
13,7,Activity J,2020-06-27 22:14:20:266,Ryan,normal,normal,"-"
13,8,Activity K,2020-06-27 23:14:12:316,Tiffiny,normal,normal,"-"
13,9,Activity B,2020-06-28 00:02:25:833,Alyce,normal,normal,"-"
13,10,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:10:03:559,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:48:05:466,Hannah,normal,normal,"-"
14,3,Activity D,2020-06-27 18:35:18:400,Hugo,normal,normal,"-"
14,4,Activity E,2020-06-27 19:22:08:052,Keven,normal,normal,"-"
14,5,Activity G,2020-06-27 20:16:15:464,Issac,normal,normal,"-"
14,6,Activity F,2020-06-27 21:11:21:553,Jimmy,normal,normal,"-"
14,7,Activity J,2020-06-27 22:03:20:611,Tiffiny,normal,normal,"-"
14,8,Activity K,2020-06-27 22:58:58:814,Ryan,normal,normal,"-"
14,9,Activity B,2020-06-27 23:55:00:590,Alyce,normal,normal,"-"
14,10,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:10:13:559,Amanda,normal,normal,"-"
15,2,Activity C,2020-06-27 17:42:08:292,Hannah,normal,normal,"-"
15,3,Activity D,2020-06-27 18:28:28:843,Hugo,normal,normal,"-"
15,4,Activity E,2020-06-27 19:24:21:361,Lannie,normal,normal,"-"
15,5,Activity H,2020-06-27 20:19:17:286,Josef,normal,normal,"-"
15,6,Activity F,2020-06-27 21:09:53:356,Sandra,normal,normal,"-"
15,7,Activity J,2020-06-27 21:44:49:918,Tiffiny,normal,normal,"-"
15,8,Activity K,2020-06-27 22:18:40:257,Ryan,normal,normal,"-"
15,9,Activity B,2020-06-27 23:15:40:371,Alyce,normal,normal,"-"
15,10,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:10:23:559,Steve,normal,normal,"-"
16,2,Activity C,2020-06-27 18:03:04:761,Hannah,normal,normal,"-"
16,3,Activity D,2020-06-27 18:51:10:863,Hugo,normal,normal,"-"
16,4,Activity E,2020-06-27 19:22:48:483,Lannie,normal,normal,"-"
16,5,Activity H,2020-06-27 19:52:24:542,Josef,normal,normal,"-"
16,6,Activity F,2020-06-27 20:41:24:592,Jimmy,normal,normal,"-"
16,7,Activity J,2020-06-27 21:17:44:464,Tiffiny,normal,normal,"-"
16,8,Activity K,2020-06-27 21:38:09:539,Issac,normal,normal,"-"
16,9,Activity B,2020-06-27 22:27:45:860,Alyce,normal,normal,"-"
16,10,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:10:33:559,Ronald,normal,normal,"-"
17,2,Activity AI,2020-06-27 17:53:26:512,Hannah,normal,normal,"-"
17,3,Activity AP,2020-06-27 18:45:52:517,Chan,normal,normal,"-"
