case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:54:967,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:28:25:220,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:15:15:013,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:02:57:781,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 16:34:42:767,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:30:13:699,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:18:39:560,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 18:37:19:476,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:04:967,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 14:25:59:029,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 15:17:28:429,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 15:55:52:267,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 16:18:02:140,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 17:10:13:429,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 18:04:06:943,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 18:42:49:838,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 19:39:43:211,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 20:14:56:263,Micheline,normal,normal,"-"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:14:967,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 14:55:20:127,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:43:52:999,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:37:47:664,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:23:35:564,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:14:51:519,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:47:20:962,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:03:16:709,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:24:967,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:39:50:012,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:29:41:689,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:18:34:910,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:16:16:119,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:03:44:060,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:55:56:974,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:16:09:657,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:14:59:859,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:34:967,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:07:20:577,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:58:43:853,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:53:10:486,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:15:35:900,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 18:08:48:981,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:43:30:503,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:32:56:329,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 20:27:14:789,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 21:01:55:474,Hoyt,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:44:967,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:49:44:754,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:45:14:027,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:17:07:332,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 16:39:04:596,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 17:25:45:024,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 18:13:16:978,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 18:35:10:874,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 19:31:37:435,Alyce,normal,normal,"-"
6,10,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:54:967,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 14:29:46:874,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:23:51:817,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:01:33:696,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 16:44:39:673,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 17:36:22:629,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 18:24:41:834,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 18:48:35:202,Alyce,normal,normal,"-"
7,9,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:04:967,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 14:51:15:072,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 15:44:57:255,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 16:39:47:203,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 17:39:43:615,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 18:26:17:971,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 19:01:56:266,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 19:36:55:657,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 20:34:32:857,Alyce,normal,normal,"-"
8,10,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:14:967,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 14:38:18:658,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 15:26:10:063,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 16:00:31:011,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 16:59:17:128,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 17:57:25:068,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 18:30:41:488,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 19:04:29:586,Alyce,normal,normal,"-"
9,9,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:24:967,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 14:42:16:712,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 15:36:04:761,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 16:07:06:559,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 17:00:48:473,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 17:56:30:530,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 18:54:00:063,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 19:11:07:514,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 20:10:26:859,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 20:43:31:208,Jack,normal,normal,"-"
10,11,Activity B,2020-06-27 21:39:13:323,Alyce,normal,normal,"-"
10,12,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:34:967,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 15:09:59:970,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 16:00:13:245,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 16:34:23:421,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 16:51:02:613,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 17:40:58:457,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 18:12:22:139,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 19:00:10:853,Brant,normal,normal,"-"
11,9,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:11:44:967,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 14:41:49:604,Pam,normal,normal,"-"
12,3,Activity AP,2020-06-27 15:38:33:603,Chan,normal,normal,"-"
12,4,Activity AQ,2020-06-27 16:19:09:812,Jamika,normal,normal,"-"
12,5,Activity AR,2020-06-27 16:50:48:863,Lucy,normal,normal,"-"
12,6,Activity AS,2020-06-27 17:38:16:702,Clayton,normal,normal,"-"
12,7,Activity AJ,2020-06-27 18:15:41:977,Ling,normal,normal,"-"
12,8,Activity B,2020-06-27 18:48:20:548,Brant,normal,normal,"-"
12,9,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:11:54:967,Amanda,normal,normal,"-"
13,2,Activity C,2020-06-27 14:41:58:974,Hannah,normal,normal,"-"
13,3,Activity D,2020-06-27 15:38:01:256,Hugo,normal,normal,"-"
13,4,Activity E,2020-06-27 16:15:36:181,Lannie,normal,normal,"-"
13,5,Activity H,2020-06-27 17:06:29:437,Keven,normal,normal,"-"
13,6,Activity F,2020-06-27 17:56:51:968,Jimmy,normal,normal,"-"
13,7,Activity J,2020-06-27 18:40:46:091,Ryan,normal,normal,"-"
13,8,Activity K,2020-06-27 19:03:09:068,Tiffiny,normal,normal,"-"
13,9,Activity B,2020-06-27 19:51:18:727,Alyce,normal,normal,"-"
13,10,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:12:04:967,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 14:49:39:363,Hannah,normal,normal,"-"
14,3,Activity D,2020-06-27 15:40:51:675,Hugo,normal,normal,"-"
14,4,Activity E,2020-06-27 16:35:41:038,Keven,normal,normal,"-"
14,5,Activity G,2020-06-27 16:55:31:866,Issac,normal,normal,"-"
14,6,Activity F,2020-06-27 17:44:01:756,Jimmy,normal,normal,"-"
14,7,Activity J,2020-06-27 18:15:50:496,Tiffiny,normal,normal,"-"
14,8,Activity K,2020-06-27 18:39:44:277,Ryan,normal,normal,"-"
14,9,Activity B,2020-06-27 19:37:26:845,Alyce,normal,normal,"-"
14,10,■,-,-,-,-,"-"
15,0,▶,-,-,-,-,"-"
15,1,Activity A,2020-06-27 14:12:14:967,Amanda,normal,normal,"-"
15,2,Activity C,2020-06-27 14:53:26:016,Hannah,normal,normal,"-"
15,3,Activity D,2020-06-27 15:38:51:699,Hugo,normal,normal,"-"
15,4,Activity E,2020-06-27 16:10:48:771,Lannie,normal,normal,"-"
15,5,Activity H,2020-06-27 16:59:04:610,Josef,normal,normal,"-"
15,6,Activity F,2020-06-27 17:56:03:348,Sandra,normal,normal,"-"
15,7,Activity J,2020-06-27 18:43:16:261,Tiffiny,normal,normal,"-"
15,8,Activity K,2020-06-27 19:06:23:609,Ryan,normal,normal,"-"
15,9,Activity B,2020-06-27 20:05:00:749,Alyce,normal,normal,"-"
15,10,■,-,-,-,-,"-"
16,0,▶,-,-,-,-,"-"
16,1,Activity A,2020-06-27 14:12:24:967,Steve,normal,normal,"-"
16,2,Activity C,2020-06-27 14:54:07:326,Hannah,normal,normal,"-"
16,3,Activity D,2020-06-27 15:40:48:833,Hugo,normal,normal,"-"
16,4,Activity E,2020-06-27 16:16:24:067,Lannie,normal,normal,"-"
16,5,Activity H,2020-06-27 16:59:23:473,Josef,normal,normal,"-"
16,6,Activity F,2020-06-27 17:58:52:311,Jimmy,normal,normal,"-"
16,7,Activity J,2020-06-27 18:43:32:367,Tiffiny,normal,normal,"-"
16,8,Activity K,2020-06-27 19:26:27:847,Issac,normal,normal,"-"
16,9,Activity B,2020-06-27 20:25:13:406,Alyce,normal,normal,"-"
16,10,■,-,-,-,-,"-"
17,0,▶,-,-,-,-,"-"
17,1,Activity A,2020-06-27 14:12:34:967,Ronald,normal,normal,"-"
17,2,Activity AI,2020-06-27 14:32:48:393,Hannah,normal,normal,"-"
17,3,Activity AP,2020-06-27 15:23:42:862,Chan,normal,normal,"-"
