case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:48:219,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 17:57:34:652,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 18:56:14:729,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 19:33:50:745,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 19:51:28:918,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 20:41:53:842,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 21:41:01:236,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 22:40:49:913,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:58:219,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 18:04:52:392,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 19:04:23:591,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 19:50:10:456,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 20:14:03:816,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 21:07:47:839,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 22:06:53:101,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 22:27:14:730,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 23:21:57:165,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-28 00:18:23:096,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:08:219,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 17:54:27:475,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 18:53:13:526,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 19:51:30:937,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 20:35:02:935,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 21:29:57:327,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 22:14:41:581,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 22:40:18:810,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:18:219,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:55:41:290,Hannah,normal,normal,"-"
