case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:35:841,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:21:42:951,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 16:14:28:577,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 17:05:02:659,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 18:02:08:405,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 19:00:57:694,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 19:51:42:788,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 20:49:46:799,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:45:841,Micheline,normal,normal,"-"
2,2,Activity L,2020-06-27 15:22:59:435,Howard,normal,normal,"-"
2,3,Activity N,2020-06-27 16:09:23:240,Issac,normal,normal,"-"
2,4,Activity M,2020-06-27 16:40:40:299,Steve,normal,normal,"-"
2,5,Activity R,2020-06-27 17:18:11:617,Brant,normal,normal,"-"
2,6,Activity AC,2020-06-27 18:04:39:957,Steve,normal,normal,"-"
2,7,Activity AH,2020-06-27 18:59:07:353,Howard,normal,normal,"-"
2,8,Activity AD,2020-06-27 19:34:26:436,Craig,normal,normal,"-"
2,9,Activity S,2020-06-27 20:29:04:430,Lannie,normal,normal,"-"
2,10,Activity B,2020-06-27 21:12:43:483,Micheline,normal,normal,"-"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:55:841,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:34:09:165,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 16:24:04:574,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:59:31:893,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 17:17:53:734,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 18:05:59:556,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:43:59:516,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:11:45:796,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:05:841,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:34:11:133,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 16:31:57:726,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 17:05:01:975,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 17:56:56:901,James,normal,normal,"-"
4,6,Activity F,2020-06-27 18:55:10:080,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:52:52:993,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 20:33:09:023,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 21:28:50:207,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:15:841,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 15:13:33:377,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:58:56:966,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:49:58:064,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 17:07:57:443,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:57:56:822,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:40:35:482,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 19:06:37:831,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 19:52:34:110,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 20:37:16:251,Hoyt,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:25:841,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 15:26:43:322,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 16:13:08:090,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 17:01:33:796,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:19:31:866,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:05:07:995,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 19:00:09:202,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:39:13:323,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:26:52:130,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:35:841,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 14:56:26:375,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 15:53:49:573,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:34:37:364,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 17:00:51:592,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 17:46:31:384,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 18:37:07:281,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 19:08:33:937,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:45:841,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 15:24:17:306,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 16:23:00:928,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 17:22:50:728,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 18:01:35:055,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 18:58:14:058,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 19:44:26:169,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 20:26:16:192,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 21:16:56:800,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:37:55:841,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 15:36:27:241,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 16:27:19:602,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 17:04:03:126,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 17:27:07:653,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 18:25:49:634,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 19:10:59:339,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 19:53:22:535,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:05:841,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 15:11:53:615,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 16:06:07:910,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 17:05:15:638,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 17:24:04:648,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 18:12:51:871,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 18:47:00:654,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 19:25:16:684,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 20:18:46:947,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 21:18:29:856,Jack,normal,normal,"-"
10,11,Activity B,2020-06-27 22:16:25:007,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:15:841,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 15:06:43:218,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 16:05:39:506,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 17:03:29:207,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 17:59:29:161,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 18:50:48:516,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 19:37:08:875,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 19:52:17:199,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:38:25:841,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 15:17:24:656,Pam,normal,normal,"-"
12,3,Activity AP,2020-06-27 16:05:14:117,Chan,normal,normal,"-"
