case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:53:772,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:28:51:626,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:19:12:096,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 18:55:25:482,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 19:11:51:302,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 19:59:36:139,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 20:36:20:057,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 21:05:43:009,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 21:57:23:380,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 22:32:27:774,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 23:14:08:148,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:03:772,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 18:04:16:202,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 19:00:24:309,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 20:00:20:620,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 20:27:21:901,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 21:23:39:774,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 21:57:29:582,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 22:54:46:600,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 23:53:58:459,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-28 00:30:50:321,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-28 00:56:53:503,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:13:772,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:32:34:318,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:20:26:297,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 18:51:32:218,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 19:22:39:751,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:18:48:032,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 20:52:07:333,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 21:50:32:820,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 22:48:48:947,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 23:37:00:831,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:01:28:120,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 00:38:18:923,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:23:772,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 18:07:42:880,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:57:15:818,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:30:27:950,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 20:28:43:876,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 21:25:40:829,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:56:09:680,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 22:19:53:393,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 23:07:34:226,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 23:54:52:338,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:46:35:123,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 01:17:12:877,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:33:772,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 17:39:20:865,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 18:38:39:760,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 19:11:57:216,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 19:27:00:146,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 20:17:10:923,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 20:54:11:852,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 21:44:38:534,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 22:37:01:109,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 23:08:04:264,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-28 00:00:11:211,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-28 00:50:57:019,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:43:772,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 17:53:53:752,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 18:39:40:451,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 19:36:03:396,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 20:24:12:040,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 21:20:15:840,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 21:57:01:946,Shandi,normal,normal,"-"
