case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:57:729,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:07:06:431,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:53:02:532,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:24:29:368,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:10:15:839,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:07:13:806,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:40:42:812,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:23:44:881,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:11:31:533,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:46:01:306,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:39:06:028,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:07:729,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 14:43:06:698,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 15:40:17:221,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:36:48:493,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 17:02:05:957,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 17:48:09:426,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 18:32:28:098,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 19:20:06:799,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 20:14:41:330,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 21:06:32:578,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 21:22:32:497,Sherell,normal,normal,"-"
2,12,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:17:729,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:02:41:376,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:56:42:422,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:48:26:652,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:14:31:043,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:08:00:859,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:39:49:117,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:36:49:411,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:29:09:364,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:10:02:411,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 22:02:56:245,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:45:30:051,Della,normal,normal,"-"
3,13,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:27:729,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 14:57:28:333,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 15:42:50:445,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:36:29:426,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:29:18:750,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 18:18:28:687,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 19:10:39:885,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 19:28:09:679,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 20:26:10:688,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 21:01:53:071,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 22:01:27:469,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 22:23:23:478,Hoyt,normal,normal,"-"
4,13,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:37:729,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 14:49:45:042,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 15:39:06:246,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 16:14:01:983,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 16:33:19:772,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 17:21:57:106,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 18:18:41:912,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 19:02:54:850,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 19:54:29:978,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 20:25:13:895,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 20:51:00:190,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-27 21:21:54:877,Shandi,normal,normal,"-"
5,13,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:47:729,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 14:49:28:185,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:38:09:252,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:21:23:358,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 17:20:22:293,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 18:12:00:714,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 18:54:36:715,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 19:24:21:215,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 20:16:56:427,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 20:58:24:115,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 21:39:45:137,Carmella,normal,normal,"-"
6,12,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:57:729,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 14:36:08:644,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 15:27:58:867,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 16:27:18:310,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 17:27:00:924,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 18:13:20:038,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 18:58:48:558,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 19:26:18:823,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 20:14:47:981,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 20:51:04:337,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-27 21:39:01:049,Johnny,normal,normal,"-"
7,12,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:07:729,Johnny,normal,normal,"-"
8,2,Activity C,2020-06-27 14:51:41:040,Roseanne,normal,normal,"-"
8,3,Activity D,2020-06-27 15:46:04:696,Alpha,normal,normal,"-"
8,4,Activity E,2020-06-27 16:36:39:844,Josef,normal,normal,"-"
8,5,Activity H,2020-06-27 17:29:00:499,Lourdes,normal,normal,"-"
8,6,Activity F,2020-06-27 18:23:20:405,Brian,normal,normal,"-"
8,7,Activity I,2020-06-27 19:20:03:188,Velda,normal,normal,"-"
8,8,Activity K,2020-06-27 19:44:18:405,Charles,normal,normal,"-"
8,9,Activity L,2020-06-27 20:42:23:068,Micheline,normal,normal,"-"
8,10,Activity J,2020-06-27 21:29:20:918,Alyce,normal,normal,"-"
8,11,Activity B,2020-06-27 21:53:59:503,Della,normal,normal,"-"
8,12,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:17:729,Keven,normal,normal,"-"
9,2,Activity C,2020-06-27 14:37:27:917,Roseanne,normal,normal,"-"
9,3,Activity D,2020-06-27 15:24:01:489,Alpha,normal,normal,"-"
9,4,Activity E,2020-06-27 16:18:31:500,Josef,normal,normal,"-"
9,5,Activity H,2020-06-27 16:59:04:499,Lourdes,normal,normal,"-"
9,6,Activity F,2020-06-27 17:56:03:180,Brian,normal,normal,"-"
9,7,Activity I,2020-06-27 18:36:07:437,Della,normal,normal,"-"
9,8,Activity M,2020-06-27 19:07:25:394,Hannah,normal,normal,"-"
9,9,Activity N,2020-06-27 20:00:48:204,Ronald,normal,normal,"-"
9,10,Activity J,2020-06-27 21:00:47:166,Sherlene,normal,normal,"-"
9,11,Activity B,2020-06-27 21:24:21:028,Sherell,normal,normal,"-"
9,12,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:27:729,Sherlene,normal,normal,"-"
10,2,Activity AB,2020-06-27 14:41:18:743,Brant,normal,normal,"-"
10,3,Activity AF,2020-06-27 15:35:31:136,Steve,normal,normal,"-"
10,4,Activity AC,2020-06-27 16:35:11:601,Brant,normal,normal,"-"
10,5,Activity AG,2020-06-27 17:15:50:136,Clayton,normal,normal,"-"
10,6,Activity AJ,2020-06-27 18:11:56:183,James,normal,normal,"-"
10,7,Activity AH,2020-06-27 19:11:52:661,Emily,normal,normal,"-"
10,8,Activity AL,2020-06-27 20:02:52:756,Ronald,normal,normal,"-"
10,9,Activity AO,2020-06-27 20:50:23:746,Ronald,normal,normal,"-"
10,10,Activity AM,2020-06-27 21:43:05:356,Brant,normal,normal,"-"
