case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:51:108,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:08:42:683,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:02:29:473,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:41:07:382,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:16:21:057,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:09:18:055,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:01:49:090,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:52:01:990,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:41:45:840,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:25:09:168,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:48:44:831,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:01:108,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 14:31:15:011,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 15:23:31:355,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:15:19:499,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 16:36:01:113,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 17:35:31:226,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 18:17:13:053,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 18:47:11:057,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 19:43:29:186,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 20:25:09:099,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 21:13:35:964,Sherell,normal,normal,"-"
2,12,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:11:108,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 14:34:16:529,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:28:37:835,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:26:37:144,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:06:33:922,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:52:36:716,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:41:18:328,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 18:58:42:716,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 19:50:49:303,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 20:33:15:875,Paul,normal,normal,"-"
