case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:55:732,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:49:03:460,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:40:24:050,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:27:00:551,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:00:47:966,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 20:58:22:111,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:34:17:388,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:28:39:758,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:16:58:587,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:11:15:418,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:36:54:141,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:05:732,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 17:38:59:272,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 18:32:50:647,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 19:08:16:246,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 20:01:17:235,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 20:59:50:736,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 21:59:46:139,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 22:26:39:926,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 23:14:51:196,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-28 00:08:10:262,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-28 01:02:39:760,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:15:732,Doretta,normal,normal,"-"
