case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:49:386,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:46:40:968,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:38:42:015,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:26:13:709,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 19:52:24:284,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 20:48:03:534,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:43:34:656,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:06:13:699,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 22:59:11:857,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 23:51:14:162,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:08:19:513,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:59:386,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 17:35:27:647,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 18:32:55:861,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 19:06:44:710,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 19:58:48:851,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 20:48:23:413,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 21:40:01:416,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 22:27:21:289,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 23:26:46:600,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 23:59:28:569,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-28 00:39:04:567,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:09:386,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:35:22:029,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:30:35:134,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:23:15:897,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 20:06:18:338,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 21:01:57:038,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:48:09:367,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 22:21:30:291,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 23:11:06:849,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 23:49:14:914,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:39:22:994,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 01:17:36:649,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:19:386,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 17:47:27:569,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:36:42:759,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:10:53:796,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 19:50:01:533,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 20:49:32:307,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:48:24:461,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 22:13:40:138,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 23:13:17:831,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-28 00:01:35:508,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:37:54:593,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 01:05:34:280,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:29:386,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 17:35:50:671,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 18:33:52:052,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 19:19:35:749,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 19:47:01:248,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 20:45:57:329,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 21:44:50:355,Brian,normal,normal,"-"
