case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:51:065,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:45:07:288,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:43:43:708,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:43:23:727,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:30:28:345,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:27:20:406,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:57:55:335,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:27:16:475,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:16:02:650,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:03:38:755,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:37:58:772,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:01:065,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 17:34:15:269,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 18:19:17:662,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 18:55:34:692,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 19:44:11:811,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 20:36:51:410,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 21:34:13:647,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 22:25:58:372,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 23:24:54:564,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-28 00:00:05:777,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-28 00:48:30:064,Sherell,normal,normal,"-"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:11:065,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:59:47:818,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:53:47:873,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:34:11:215,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 20:27:04:947,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 21:20:34:728,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 22:13:32:041,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 23:13:16:954,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-28 00:09:48:288,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-28 01:02:48:272,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 01:42:10:329,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 02:13:39:240,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:21:065,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 17:35:43:877,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:26:53:915,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:22:31:682,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 20:01:50:257,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 20:50:04:645,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:32:28:512,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 22:10:26:884,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 23:02:42:038,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 23:36:09:169,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:27:31:348,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 01:08:34:124,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:31:065,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 17:26:53:023,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 18:22:27:953,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 19:03:22:723,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 19:25:42:068,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 20:11:23:941,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 21:08:27:595,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 21:23:40:468,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 22:18:53:518,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 23:00:59:538,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 23:59:40:900,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-28 00:48:00:476,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:41:065,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 17:29:23:799,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 18:15:05:991,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 19:03:45:220,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 19:20:52:905,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 20:09:23:756,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 20:39:23:925,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 21:04:56:457,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 22:04:38:503,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 22:39:11:221,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 23:16:12:203,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:51:065,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 17:45:15:967,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 18:33:17:055,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 19:12:32:570,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 19:32:29:753,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 20:20:50:032,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 21:10:46:640,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 21:27:17:994,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 22:21:02:318,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 23:13:35:847,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-28 00:12:15:199,Johnny,normal,normal,"-"
7,12,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:01:065,Johnny,normal,normal,"-"
8,2,Activity C,2020-06-27 17:37:51:758,Roseanne,normal,normal,"-"
8,3,Activity D,2020-06-27 18:33:09:497,Alpha,normal,normal,"-"
8,4,Activity E,2020-06-27 19:05:25:837,Josef,normal,normal,"-"
8,5,Activity H,2020-06-27 20:02:39:164,Lourdes,normal,normal,"-"
8,6,Activity F,2020-06-27 20:52:33:951,Brian,normal,normal,"-"
8,7,Activity I,2020-06-27 21:50:08:849,Velda,normal,normal,"-"
8,8,Activity K,2020-06-27 22:27:50:363,Charles,normal,normal,"-"
8,9,Activity L,2020-06-27 23:14:52:073,Micheline,normal,normal,"-"
8,10,Activity J,2020-06-28 00:11:31:312,Alyce,normal,normal,"-"
8,11,Activity B,2020-06-28 00:46:04:458,Della,normal,normal,"-"
8,12,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:11:065,Keven,normal,normal,"-"
9,2,Activity C,2020-06-27 18:06:51:005,Roseanne,normal,normal,"-"
9,3,Activity D,2020-06-27 18:53:53:944,Alpha,normal,normal,"-"
9,4,Activity E,2020-06-27 19:51:23:217,Josef,normal,normal,"-"
9,5,Activity H,2020-06-27 20:07:09:819,Lourdes,normal,normal,"-"
9,6,Activity F,2020-06-27 21:01:36:679,Brian,normal,normal,"-"
9,7,Activity I,2020-06-27 21:31:56:921,Della,normal,normal,"-"
9,8,Activity M,2020-06-27 22:00:37:800,Hannah,normal,normal,"-"
9,9,Activity N,2020-06-27 22:52:50:359,Ronald,normal,normal,"-"
9,10,Activity J,2020-06-27 23:43:36:743,Sherlene,normal,normal,"-"
9,11,Activity B,2020-06-28 00:07:29:723,Sherell,normal,normal,"-"
9,12,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:21:065,Sherlene,normal,normal,"-"
10,2,Activity AB,2020-06-27 17:50:07:019,Brant,normal,normal,"-"
10,3,Activity AF,2020-06-27 18:38:42:131,Steve,normal,normal,"-"
10,4,Activity AC,2020-06-27 19:12:45:938,Brant,normal,normal,"-"
10,5,Activity AG,2020-06-27 19:51:36:947,Clayton,normal,normal,"-"
10,6,Activity AJ,2020-06-27 20:41:05:853,James,normal,normal,"-"
10,7,Activity AH,2020-06-27 21:40:50:443,Emily,normal,normal,"-"
10,8,Activity AL,2020-06-27 22:28:39:467,Ronald,normal,normal,"-"
10,9,Activity AO,2020-06-27 23:20:24:893,Ronald,normal,normal,"-"
10,10,Activity AM,2020-06-28 00:10:16:343,Brant,normal,normal,"-"
10,11,Activity AP,2020-06-28 00:34:41:458,Keven,normal,normal,"-"
10,12,Activity B,2020-06-28 01:11:35:690,Junior,normal,normal,"-"
10,13,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:31:065,Lourdes,normal,normal,"-"
11,2,Activity Q,2020-06-27 17:58:26:103,Roseanne,normal,normal,"-"
11,3,Activity R,2020-06-27 18:46:28:986,Howard,normal,normal,"-"
11,4,Activity S,2020-06-27 19:35:11:839,Sandra,normal,normal,"-"
11,5,Activity T,2020-06-27 20:00:56:107,Howard,normal,normal,"-"
11,6,Activity U,2020-06-27 20:55:24:211,Shandi,normal,normal,"-"
11,7,Activity V,2020-06-27 21:44:21:390,Donald,normal,normal,"-"
11,8,Activity X,2020-06-27 22:30:42:591,Ryan,normal,normal,"-"
11,9,Activity W,2020-06-27 23:22:50:986,Frances,normal,normal,"-"
11,10,Activity B,2020-06-28 00:05:40:333,Alyce,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
