case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:01:152,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:04:05:953,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:59:56:117,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:45:53:983,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:10:37:179,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:07:58:154,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:02:41:354,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:51:00:983,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:42:58:345,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:38:56:059,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:13:32:871,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:11:152,Johnny,normal,normal,"-"
2,2,Activity C,2020-06-27 14:37:18:637,Roseanne,normal,normal,"-"
2,3,Activity D,2020-06-27 15:30:44:055,Alpha,normal,normal,"-"
2,4,Activity E,2020-06-27 16:05:20:724,Josef,normal,normal,"-"
2,5,Activity H,2020-06-27 16:58:14:254,Josef,normal,normal,"-"
2,6,Activity F,2020-06-27 17:54:02:549,Brian,normal,normal,"-"
2,7,Activity I,2020-06-27 18:42:39:438,Ling,normal,normal,"-"
2,8,Activity O,2020-06-27 19:21:45:818,Rossana,normal,normal,"-"
2,9,Activity P,2020-06-27 20:14:22:876,Wilton,normal,normal,"-"
2,10,Activity J,2020-06-27 20:47:35:332,Sherlene,normal,normal,"-"
2,11,Activity B,2020-06-27 21:42:39:899,Sherell,normal,normal,"-"
2,12,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:21:152,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:09:56:235,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 16:00:26:947,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:54:31:291,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:10:37:340,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:06:47:027,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:56:21:028,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:12:33:128,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 19:58:31:035,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 20:41:49:905,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 21:10:17:922,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:08:55:237,Della,normal,normal,"-"
3,13,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:31:152,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 14:28:59:319,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 15:21:37:770,Steve,normal,normal,"-"
