case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:40:884,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:02:17:578,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:50:30:121,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:32:08:945,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:48:49:809,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:42:19:749,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:35:07:732,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 18:50:17:082,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:50:884,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:32:31:169,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:31:57:657,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 17:19:59:088,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:56:04:997,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:45:13:944,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:17:56:148,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:00:884,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:00:02:549,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:52:38:894,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:10:884,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:18:03:253,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:03:46:361,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:50:16:421,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:33:43:687,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:20:45:660,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:14:31:985,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:49:23:664,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:20:884,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:31:58:409,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:28:56:376,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 17:04:47:564,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:56:05:785,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:52:34:464,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:23:55:909,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 20:23:15:736,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:30:884,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:10:07:950,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:59:15:305,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:31:50:118,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:15:37:124,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:07:10:729,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:02:11:124,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:40:884,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:59:45:227,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:49:25:888,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:46:55:690,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:45:20:301,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:31:42:981,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:17:37:958,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:37:50:884,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 14:58:29:790,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:54:09:497,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:38:00:884,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 15:18:59:175,Ronald,normal,normal,"-"
