case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:54:272,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:50:55:885,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:43:09:852,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:32:08:614,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:18:02:013,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:04:44:190,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:50:03:125,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:08:58:718,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:04:272,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:34:06:932,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:31:58:881,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:12:59:512,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 16:55:41:614,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 17:51:10:082,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:44:44:032,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:14:272,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:44:04:627,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:36:03:861,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:24:272,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:58:07:364,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:56:14:320,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:53:21:464,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:11:12:490,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:07:08:251,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:04:30:962,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:57:41:702,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:34:272,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:47:04:700,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:43:40:015,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:35:03:605,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:25:30:807,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:21:24:446,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:52:56:923,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:29:53:015,Michaele,normal,normal,"-"
5,9,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:10:44:272,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:55:58:961,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:43:04:755,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:35:18:984,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:27:00:361,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:12:05:216,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:55:41:169,Maryellen,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:10:54:272,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:28:19:779,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:27:56:166,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:04:45:226,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:01:17:791,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 17:52:58:723,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:27:49:346,Alpha,normal,normal,"-"
7,8,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:04:272,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:02:09:371,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:54:15:155,Michaele,normal,normal,"-"
8,4,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:14:272,Keven,normal,normal,"-"
9,2,Activity O,2020-06-27 15:04:55:264,Ronald,normal,normal,"-"
9,3,Activity U,2020-06-27 15:56:28:342,Velda,normal,normal,"-"
9,4,Activity X,2020-06-27 16:41:19:355,Pam,normal,normal,"-"
9,5,Activity V,2020-06-27 17:13:36:153,Maryellen,normal,normal,"-"
9,6,Activity P,2020-06-27 18:07:41:452,Ryan,normal,normal,"-"
9,7,Activity B,2020-06-27 18:40:55:091,Alpha,normal,normal,"-"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:11:24:272,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 14:46:18:635,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 15:32:59:949,Michaele,normal,normal,"-"
10,4,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:11:34:272,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 14:35:08:846,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 15:29:50:126,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 16:15:08:331,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 16:48:07:566,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 17:39:13:157,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 18:11:58:677,Jamika,normal,normal,"-"
