case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:39:384,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:33:23:957,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:27:28:764,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 17:02:58:445,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:18:14:626,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:13:22:192,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:44:18:782,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:33:19:670,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:49:384,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:31:24:222,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:22:46:843,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 17:15:31:036,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 18:07:55:573,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:58:04:611,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:51:16:253,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:59:384,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:06:36:208,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:02:17:526,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:09:384,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:28:40:480,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:26:51:500,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 17:09:54:084,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:27:32:164,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:26:56:723,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:21:13:941,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 20:16:27:104,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:19:384,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:36:59:966,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:32:00:856,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 17:21:04:148,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 18:17:49:824,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 19:17:12:198,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 20:02:13:700,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 20:30:07:321,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:29:384,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:19:48:889,Brian,normal,normal,"-"
