case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:54:594,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:38:35:993,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:24:19:563,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:03:30:947,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:59:47:516,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:50:51:183,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:36:08:164,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:20:13:734,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:04:594,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:00:16:279,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:45:20:539,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:29:53:647,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:22:14:942,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:16:36:272,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:46:52:363,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:14:594,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:47:45:408,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:44:24:200,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:24:594,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:00:43:233,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:51:43:374,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:24:02:245,Emily,normal,normal,"-"
