case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:51:890,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:53:27:002,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:42:42:416,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:35:55:900,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:20:03:954,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:11:32:455,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:59:12:736,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:44:18:877,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:30:58:047,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:13:11:450,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:08:01:890,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 18:03:51:553,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:49:55:475,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:24:41:578,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:11:12:459,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:59:57:038,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:38:42:152,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:11:890,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:00:51:007,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:49:25:633,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:35:46:338,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:22:58:195,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:13:45:607,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:51:46:993,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:18:17:947,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:17:26:321,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:58:46:452,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:21:890,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:44:11:016,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:37:27:077,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:26:02:765,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 19:53:40:739,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:44:10:685,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:17:33:200,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:13:22:541,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:06:01:136,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 23:41:11:036,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:31:890,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:41:01:900,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:39:02:377,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:11:35:134,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:02:22:968,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 20:59:39:745,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:58:00:710,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:46:59:134,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:42:17:466,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:25:41:574,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:41:890,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:41:33:582,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:34:53:869,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:26:33:877,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 19:49:23:383,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 20:40:33:699,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:36:48:573,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:51:890,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:25:17:613,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:23:03:616,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:10:22:553,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:00:24:674,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:48:16:214,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:46:37:819,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:27:27:402,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:20:33:853,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:55:17:307,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:01:890,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 18:07:29:056,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 19:05:13:424,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:38:22:949,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 20:31:09:692,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 21:26:44:934,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 22:11:09:632,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:11:890,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:47:38:327,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:35:15:070,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:33:44:634,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:15:21:838,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 21:07:01:110,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:41:46:375,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:07:56:768,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:01:16:266,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 23:56:07:632,Howard,normal,normal,"-"
9,11,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:21:890,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 17:56:29:120,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 18:54:33:923,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 19:26:21:269,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 20:17:28:247,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 21:03:45:188,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 21:39:28:292,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 22:31:52:794,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 23:19:41:403,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 23:55:53:254,Emily,normal,normal,"-"
10,11,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:09:31:890,Sherlene,normal,normal,"-"
