case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:39:566,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 15:04:13:500,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 15:59:36:545,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:46:47:206,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 17:39:32:525,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 18:25:34:896,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 19:06:32:427,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:30:00:217,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 20:28:41:161,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 21:11:02:078,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:36:49:566,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:16:25:143,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:13:44:613,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 17:13:31:752,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:44:30:392,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:33:21:395,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:05:50:379,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:36:59:566,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:28:57:691,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:16:23:821,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:58:53:781,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:15:50:304,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:07:34:783,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:51:31:399,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:46:52:303,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:40:17:624,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:25:20:210,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:09:566,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:08:44:155,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:03:30:446,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:51:58:916,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:09:29:085,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:01:23:068,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:37:37:891,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:11:58:724,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:02:46:781,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 20:35:21:497,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:19:566,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:06:51:610,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:00:42:280,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:31:59:900,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:18:41:765,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:16:57:152,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:15:11:240,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 20:03:25:292,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:51:08:145,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:34:09:747,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:29:566,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 14:59:50:471,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 15:50:06:849,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:38:31:967,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 17:28:16:331,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 18:25:37:908,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 19:00:29:794,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:39:566,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 15:04:25:335,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:52:13:880,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:49:39:383,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:49:11:796,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:37:25:879,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 19:19:55:465,Hoyt,normal,normal,"-"
