case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:48:005,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:26:49:352,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:24:04:550,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:07:20:672,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 19:47:19:102,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 20:35:31:428,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:34:16:678,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:27:02:041,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:23:08:254,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:16:56:103,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:07:58:005,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:22:58:993,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:16:39:398,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:09:17:048,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:00:09:047,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:46:15:143,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:44:39:917,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:08:005,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:05:55:446,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:52:08:726,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:49:50:165,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:30:04:757,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:28:39:770,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 22:11:07:212,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:26:51:419,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:15:40:346,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:58:30:104,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:18:005,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:00:15:492,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:58:14:353,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:34:01:951,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:33:31:641,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:21:33:655,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 22:04:21:869,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 23:03:16:751,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:52:00:327,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:51:11:489,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:28:005,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 18:02:10:836,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 19:01:20:120,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:46:09:559,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:14:10:274,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:08:13:442,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:47:28:299,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:11:34:607,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:02:05:597,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:01:02:414,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:38:005,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:55:28:860,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:48:18:958,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:31:55:103,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:20:15:813,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:05:18:218,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 22:04:03:135,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:08:48:005,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:44:16:778,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:43:42:312,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:40:08:367,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:15:21:673,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 21:05:05:696,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:58:31:634,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:20:36:201,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:14:58:640,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 23:49:28:208,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:08:58:005,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:31:17:100,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:21:39:762,Brant,normal,normal,"-"
