case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:16:59:883,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 17:54:30:140,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 18:51:57:584,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:25:54:924,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:08:15:179,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 20:58:08:946,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 21:32:37:442,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:17:03:043,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:07:39:243,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 23:40:55:057,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:17:09:883,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 18:13:41:799,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 19:12:48:202,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:50:54:297,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:06:39:917,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:58:51:826,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:43:28:751,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:17:19:883,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:12:12:199,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 19:02:42:345,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:50:03:461,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:33:59:015,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:30:29:127,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 22:15:37:882,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 23:02:01:710,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:48:57:061,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:21:55:210,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:17:29:883,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:43:58:602,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:42:56:006,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:16:44:403,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:14:46:729,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:08:00:784,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:52:54:677,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:32:25:338,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:22:54:812,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:09:57:715,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:17:39:883,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:32:51:017,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:26:25:829,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:23:22:077,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 19:55:14:583,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 20:52:28:406,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:24:57:089,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:09:54:959,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:06:01:769,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 23:53:33:429,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:17:49:883,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 18:08:49:138,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 19:08:25:170,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 20:00:09:417,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:23:44:553,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:10:48:852,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 22:09:44:984,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:17:59:883,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 18:15:47:927,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 19:04:33:943,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:59:31:392,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 20:23:36:597,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 21:11:46:630,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 21:59:42:009,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 22:38:15:101,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 23:27:14:065,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-28 00:10:34:265,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:18:09:883,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:40:48:063,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:39:01:987,Brant,normal,normal,"-"
