case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:17:04:050,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 18:09:57:727,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 19:05:14:183,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 19:52:43:314,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 20:44:11:857,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 21:39:37:888,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 22:17:41:248,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 22:47:11:202,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 23:44:46:112,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-28 00:39:32:993,Howard,normal,normal,"-"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:17:14:050,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 18:08:19:476,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:54:40:932,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:49:24:006,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:47:44:726,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:44:01:230,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 22:14:18:037,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:17:24:050,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:03:41:856,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:54:13:931,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:37:26:819,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:07:14:521,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:02:29:399,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:52:08:554,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:45:22:881,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:32:07:928,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:09:55:911,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:17:34:050,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:35:50:418,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:26:41:971,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:20:38:615,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:11:51:485,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:06:46:276,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 22:03:41:484,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:35:52:144,Sonia,normal,normal,"-"
