case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:56:178,Sherlene,normal,normal,"-"
1,2,Activity B,2020-06-27 15:08:00:193,Earl,normal,normal,"-"
1,3,Activity C,2020-06-27 16:07:14:640,Brant,normal,normal,"-"
1,4,Activity D,2020-06-27 16:46:47:656,Lourdes,normal,normal,"-"
1,5,Activity E,2020-06-27 17:20:18:096,Hugo,normal,normal,"-"
1,6,Activity G,2020-06-27 18:12:56:446,Lourdes,normal,normal,"-"
1,7,Activity H,2020-06-27 19:08:35:871,Hoyt,normal,normal,"-"
1,8,Activity I,2020-06-27 19:39:35:848,Jack,normal,normal,"-"
1,9,Activity J,2020-06-27 20:28:58:030,Sonia,normal,normal,"-"
1,10,Activity F,2020-06-27 21:27:16:484,Howard,normal,normal,"-"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:06:178,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:35:11:679,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:22:12:747,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 15:59:33:766,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:45:23:202,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:34:52:493,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:09:36:851,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:16:178,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:47:31:810,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:35:31:677,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:20:35:478,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:36:13:949,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:29:48:424,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:03:37:484,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 18:53:26:499,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:39:33:939,Amanda,normal,normal,"-"
