case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:09:49:180,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:50:29:743,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:41:12:283,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:32:19:119,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:30:49:731,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:16:12:925,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:09:59:180,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:53:42:316,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:39:17:585,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:30:16:888,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:21:42:767,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:14:19:235,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:13:11:073,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:09:180,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:26:17:302,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:18:33:066,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:06:25:547,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:00:03:788,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:55:05:116,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:19:180,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:46:47:934,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:32:03:494,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:05:02:850,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 16:28:30:167,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 17:27:06:822,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:22:02:154,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
